donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter
D00093,0,3,1350,15,1
D00094,4,5,2250,25,0
D00095,9,2,900,12,0
D00096,4,1,450,4,0
D00097,0,5,2250,15,1
D00098,3,1,450,3,1
D00099,0,2,900,12,1
D00100,17,3,1350,18,0
D00101,1,1,450,1,1
D00102,10,2,900,10,0
D00103,12,6,2700,30,0
D00104,12,2,900,12,0
D00105,3,1,450,3,1
D00106,0,6,2700,42,1
D00107,3,1,450,3,1
D00108,5,2,900,14,0
D00109,2,1,450,2,1
D00110,1,1,450,1,1
D00111,2,1,450,2,1
D00112,3,3,1350,18,1
D00113,9,6,2700,30,0
D00114,3,2,900,8,1
D00115,10,2,900,10,0
D00116,2,4,1800,16,1
D00117,1,2,900,6,1
D00118,0,2,900,12,1
D00119,4,2,900,14,0
D00120,6,2,900,8,0
D00121,6,2,900,6,0
D00122,2,1,450,2,1
D00123,8,4,1800,24,0
D00124,4,1,450,4,0
D00125,16,5,2250,25,0
D00126,14,6,2700,36,0
D00127,5,2,900,12,0
D00128,0,1,450,0,1
D00129,2,2,900,14,1
D00130,0,5,2250,30,1
D00131,4,1,450,4,0
D00132,9,3,1350,9,0
D00133,5,1,450,5,0
D00134,5,1,450,5,0
D00135,5,1,450,5,0
D00136,1,1,450,1,1
D00137,0,2,900,12,1
D00138,0,2,900,14,1
D00139,8,24,10800,120,0
D00140,1,3,1350,9,1
D00141,11,2,900,12,0
D00142,2,5,2250,35,1
D00143,17,5,2250,20,0
D00144,3,1,450,3,1
D00145,4,6,2700,42,0
D00146,3,1,450,3,1
D00147,3,47,21150,120,1
D00148,3,6,2700,18,1
D00149,12,3,1350,12,0
D00150,6,3,1350,21,0
D00151,0,2,900,14,1
D00152,8,5,2250,30,0
D00153,21,3,1350,21,0
D00154,5,1,450,5,0
D00155,5,4,1800,28,0
D00156,6,7,3150,21,0
D00157,2,1,450,2,1
D00158,3,6,2700,42,1
D00159,0,2,900,8,1
D00160,1,4,1800,28,1
D00161,10,7,3150,42,0
D00162,0,1,450,0,1
D00163,0,1,450,0,1
D00164,6,2,900,14,0
D00165,8,7,3150,42,0
D00166,3,1,450,3,1
D00167,3,1,450,3,1
D00168,3,1,450,3,1
D00169,10,3,1350,15,0
D00170,5,1,450,5,0
D00171,16,4,1800,28,0
D00172,0,1,450,0,1
D00173,2,9,4050,45,1
D00174,9,27,12150,120,0
D00175,4,1,450,4,0
D00176,1,1,450,1,1
D00177,0,1,450,0,1
D00178,9,3,1350,9,0
D00179,4,6,2700,30,0
D00180,9,3,1350,21,0
D00181,3,2,900,12,1
D00182,4,18,8100,72,0
D00183,0,3,1350,9,1
D00184,0,2,900,6,1
D00185,0,2,900,10,1
D00186,0,2,900,12,1
D00187,14,2,900,14,0
D00188,0,2,900,14,1
D00189,2,9,4050,45,1
D00190,3,1,450,3,1
D00191,7,6,2700,42,0
D00192,0,1,450,0,1
D00193,5,1,450,5,0
D00194,10,8,3600,24,0
D00195,4,1,450,4,0
D00196,2,1,450,2,1
D00197,5,21,9450,84,0
D00198,3,3,1350,15,1
D00199,4,1,450,4,0
D00200,3,1,450,3,1
D00201,0,2,900,8,1
D00202,0,3,1350,12,1
D00203,6,7,3150,28,0
D00204,4,1,450,4,0
D00205,10,5,2250,20,0
D00206,0,1,450,0,1
D00207,15,5,2250,20,0
D00208,10,2,900,10,0
D00209,5,2,900,12,0
D00210,3,1,450,3,1
D00211,1,1,450,1,1
D00212,2,1,450,2,1
D00213,3,1,450,3,1
D00214,3,3,1350,9,1
D00215,7,5,2250,25,0
D00216,2,7,3150,35,1
D00217,0,2,900,6,1
D00218,3,1,450,3,1
D00219,1,3,1350,9,1
D00220,3,5,2250,20,1
D00221,3,1,450,3,1
D00222,5,4,1800,24,0
D00223,0,2,900,6,1
D00224,3,50,22500,120,1
D00225,2,27,12150,120,1
D00226,5,1,450,5,0
D00227,6,24,10800,120,0
D00228,7,2,900,10,0
D00229,1,1,450,1,1
D00230,7,2,900,10,0
D00231,1,1,450,1,1
D00232,1,2,900,10,1
D00233,4,2,900,8,0
D00234,5,4,1800,16,0
D00235,1,6,2700,42,1
D00236,12,2,900,12,0
D00237,2,9,4050,45,1
D00238,6,4,1800,12,0
D00239,4,1,450,4,0
D00240,18,3,1350,18,0
D00241,12,3,1350,12,0
D00242,1,17,7650,68,1
D00243,1,4,1800,24,1
D00244,0,1,450,0,1
D00245,3,3,1350,18,1
D00246,12,7,3150,42,0
D00247,1,1,450,1,1
D00248,1,5,2250,20,1
D00249,3,1,450,3,1
D00250,9,4,1800,16,0
D00251,2,2,900,6,1
D00252,5,1,450,5,0
D00253,3,1,450,3,1
D00254,14,20,9000,80,0
D00255,3,1,450,3,1
D00256,0,27,12150,120,1
D00257,4,1,450,4,0
D00258,5,1,450,5,0
D00259,1,1,450,1,1
D00260,5,1,450,5,0
D00261,0,3,1350,18,1
D00262,2,1,450,2,1
D00263,2,1,450,2,1
D00264,4,6,2700,24,0
D00265,6,2,900,12,0
D00266,5,10,4500,30,0
D00267,1,8,3600,56,1
D00268,5,7,3150,35,0
D00269,10,2,900,10,0
D00270,8,2,900,8,0
D00271,8,2,900,12,0
D00272,25,7,3150,49,0
D00273,5,1,450,5,0
D00274,1,1,450,1,1
D00275,3,2,900,6,1
D00276,2,2,900,6,1
D00277,12,2,900,14,0
D00278,2,2,900,6,1
D00279,7,3,1350,9,0
D00280,0,5,2250,20,1
D00281,3,2,900,12,1
D00282,4,1,450,4,0
D00283,2,3,1350,21,1
D00284,4,50,22500,120,0
D00285,0,3,1350,15,1
D00286,4,2,900,10,0
D00287,0,2,900,6,1
D00288,1,1,450,1,1
D00289,2,1,450,2,1
D00290,3,1,450,3,1
D00291,4,1,450,4,0
D00292,3,3,1350,15,1
D00293,8,2,900,14,0
D00294,4,1,450,4,0
D00295,4,1,450,4,0
D00296,0,1,450,0,1
D00297,5,1,450,5,0
D00298,0,2,900,12,1
D00299,0,4,1800,20,1
D00300,4,4,1800,28,0
D00301,2,17,7650,85,1
D00302,4,1,450,4,0
D00303,12,2,900,12,0
D00304,3,7,3150,35,1
D00305,0,4,1800,12,1
D00306,0,3,1350,18,1
D00307,5,6,2700,30,0
D00308,1,1,450,1,1
D00309,3,2,900,12,1
D00310,1,1,450,1,1
D00311,12,4,1800,12,0
D00312,0,12,5400,48,1
D00313,1,2,900,14,1
D00314,2,2,900,8,1
D00315,4,6,2700,24,0
D00316,4,1,450,4,0
D00317,8,2,900,12,0
D00318,18,9,4050,36,0
D00319,0,2,900,8,1
D00320,10,3,1350,12,0
D00321,7,20,9000,60,0
D00322,4,1,450,4,0
D00323,1,12,5400,84,1
D00324,1,2,900,6,1
D00325,4,6,2700,36,0
D00326,2,2,900,6,1
D00327,0,1,450,0,1
D00328,4,2,900,6,0
D00329,3,1,450,3,1
D00330,0,24,10800,120,1
D00331,3,1,450,3,1
D00332,1,4,1800,20,1
D00333,1,1,450,1,1
D00334,1,1,450,1,1
D00335,6,4,1800,28,0
D00336,0,1,450,0,1
D00337,4,1,450,4,0
D00338,0,4,1800,20,1
D00339,4,1,450,4,0
D00340,1,1,450,1,1
D00341,11,5,2250,35,0
D00342,0,1,450,0,1
D00343,0,4,1800,12,1
D00344,3,1,450,3,1
D00345,8,2,900,10,0
D00346,6,4,1800,12,0
D00347,9,3,1350,15,0
D00348,0,5,2250,20,1
D00349,1,2,900,6,1
D00350,14,42,18900,120,0
D00351,12,12,5400,36,0
D00352,4,1,450,4,0
D00353,13,5,2250,25,0
D00354,8,3,1350,9,0
D00355,6,2,900,6,0
D00356,1,3,1350,9,1
D00357,7,12,5400,60,0
D00358,0,1,450,0,1
D00359,0,1,450,0,1
D00360,3,3,1350,15,1
D00361,3,1,450,3,1
D00362,16,4,1800,16,0
D00363,1,2,900,8,1
D00364,1,33,14850,99,1
D00365,2,7,3150,35,1
D00366,3,11,4950,55,1
D00367,6,2,900,10,0
D00368,24,6,2700,30,0
D00369,6,5,2250,25,0
D00370,0,1,450,0,1
D00371,31,13,5850,65,0
D00372,18,10,4500,40,0
D00373,6,2,900,6,0
D00374,2,1,450,2,1
D00375,4,1,450,4,0
D00376,12,2,900,12,0
D00377,1,1,450,1,1
D00378,2,5,2250,35,1
D00379,0,12,5400,48,1
D00380,12,3,1350,12,0
D00381,7,5,2250,30,0
D00382,1,2,900,12,1
D00383,7,3,1350,12,0
D00384,1,1,450,1,1
D00385,10,2,900,12,0
D00386,2,7,3150,42,1
D00387,3,5,2250,20,1
D00388,2,1,450,2,1
D00389,4,4,1800,20,0
D00390,1,2,900,12,1
D00391,1,2,900,6,1
D00392,12,3,1350,12,0
D00393,4,1,450,4,0
D00394,5,5,2250,25,0
D00395,8,2,900,8,0
D00396,3,1,450,3,1
D00397,2,2,900,10,1
D00398,1,4,1800,16,1
D00399,8,2,900,8,0
D00400,3,2,900,6,1
D00401,0,1,450,0,1
D00402,6,5,2250,20,0
D00403,10,2,900,10,0
D00404,18,3,1350,18,0
D00405,32,13,5850,91,0
D00406,7,2,900,8,0
D00407,4,6,2700,36,0
D00408,3,4,1800,28,1
D00409,0,2,900,14,1
D00410,10,2,900,10,0
D00411,4,2,900,6,0
D00412,3,1,450,3,1
D00413,0,1,450,0,1
D00414,1,13,5850,52,1
D00415,6,14,6300,70,0
D00416,4,1,450,4,0
D00417,8,2,900,8,0
D00418,0,2,900,8,1
D00419,12,2,900,12,0
D00420,2,2,900,12,1
D00421,3,1,450,3,1
D00422,15,3,1350,15,0
D00423,2,1,450,2,1
D00424,0,6,2700,24,1
D00425,7,6,2700,42,0
D00426,2,1,450,2,1
D00427,1,6,2700,18,1
D00428,0,1,450,0,1
D00429,0,4,1800,24,1
D00430,0,2,900,12,1
D00431,0,2,900,14,1
D00432,2,1,450,2,1
D00433,0,4,1800,24,1
D00434,2,4,1800,28,1
D00435,1,2,900,10,1
D00436,4,1,450,4,0
D00437,0,1,450,0,1
D00438,1,2,900,12,1
D00439,5,1,450,5,0
D00440,9,4,1800,20,0
D00441,0,1,450,0,1
D00442,7,4,1800,16,0
D00443,0,2,900,14,1
D00444,11,3,1350,15,0
D00445,0,1,450,0,1
D00446,4,1,450,4,0
D00447,6,33,14850,99,0
D00448,4,1,450,4,0
D00449,33,14,6300,84,0
D00450,3,2,900,8,1
D00451,10,4,1800,20,0
D00452,1,4,1800,28,1
D00453,5,1,450,5,0
D00454,9,6,2700,18,0
D00455,13,5,2250,15,0
D00456,12,2,900,12,0
D00457,4,1,450,4,0
D00458,4,2,900,10,0
D00459,1,9,4050,54,1
D00460,4,41,18450,120,0
D00461,8,2,900,8,0
D00462,0,45,20250,120,1
D00463,0,11,4950,77,1
D00464,7,3,1350,9,0
D00465,5,3,1350,15,0
D00466,1,1,450,1,1
D00467,11,6,2700,42,0
D00468,0,2,900,10,1
D00469,1,1,450,1,1
D00470,0,5,2250,35,1
D00471,3,4,1800,24,1
D00472,7,8,3600,40,0
D00473,0,1,450,0,1
D00474,0,1,450,0,1
D00475,4,1,450,4,0
D00476,0,1,450,0,1
D00477,2,1,450,2,1
D00478,3,2,900,8,1
D00479,0,3,1350,15,1
D00480,2,1,450,2,1
D00481,1,2,900,8,1
D00482,5,1,450,5,0
D00483,2,1,450,2,1
D00484,3,2,900,10,1
D00485,9,3,1350,9,0
D00486,3,3,1350,12,1
D00487,6,4,1800,24,0
D00488,9,20,9000,60,0
D00489,9,6,2700,24,0
D00490,15,5,2250,15,0
D00491,1,4,1800,12,1
D00492,3,2,900,12,1
D00493,5,1,450,5,0
D00494,12,4,1800,12,0
D00495,3,1,450,3,1
D00496,1,1,450,1,1
D00497,9,9,4050,54,0
D00498,6,4,1800,24,0
D00499,12,3,1350,18,0
D00500,3,1,450,3,1
D00501,2,4,1800,16,1
D00502,1,1,450,1,1
D00503,1,48,21600,120,1
D00504,1,10,4500,40,1
D00505,6,10,4500,70,0
D00506,1,6,2700,30,1
D00507,3,2,900,10,1
D00508,10,6,2700,18,0
D00509,19,6,2700,30,0
D00510,0,3,1350,9,1
D00511,0,1,450,0,1
D00512,4,1,450,4,0
D00513,6,2,900,6,0
D00514,5,1,450,5,0
D00515,20,23,10350,120,0
D00516,4,5,2250,20,0
D00517,1,2,900,12,1
D00518,4,3,1350,18,0
D00519,3,2,900,12,1
D00520,1,2,900,12,1
D00521,7,2,900,10,0
D00522,1,6,2700,42,1
D00523,2,2,900,8,1
D00524,18,6,2700,18,0
D00525,10,3,1350,18,0
D00526,0,5,2250,20,1
D00527,6,2,900,12,0
D00528,0,2,900,8,1
D00529,0,1,450,0,1
D00530,1,1,450,1,1
D00531,10,2,900,10,0
D00532,9,5,2250,30,0
D00533,0,3,1350,15,1
D00534,4,1,450,4,0
D00535,2,2,900,10,1
D00536,18,6,2700,36,0
D00537,3,1,450,3,1
D00538,3,2,900,6,1
D00539,5,5,2250,25,0
D00540,0,1,450,0,1
D00541,3,1,450,3,1
D00542,1,5,2250,30,1
D00543,3,1,450,3,1
D00544,6,2,900,10,0
D00545,4,8,3600,56,0
D00546,5,1,450,5,0
D00547,5,1,450,5,0
D00548,0,4,1800,12,1
D00549,8,50,22500,120,0
D00550,4,2,900,10,0
D00551,2,2,900,14,1
D00552,4,1,450,4,0
D00553,1,2,900,6,1
D00554,4,1,450,4,0
D00555,4,1,450,4,0
D00556,1,42,18900,120,1
D00557,2,50,22500,120,1
D00558,4,1,450,4,0
D00559,18,4,1800,28,0
D00560,2,1,450,2,1
D00561,13,5,2250,35,0
D00562,4,1,450,4,0
D00563,8,2,900,8,0
D00564,5,1,450,5,0
D00565,0,15,6750,105,1
D00566,5,1,450,5,0
D00567,2,1,450,2,1
D00568,5,1,450,5,0
D00569,2,2,900,12,1
D00570,1,9,4050,27,1
D00571,10,2,900,10,0
D00572,2,1,450,2,1
D00573,4,5,2250,35,0
D00574,8,2,900,8,0
D00575,1,2,900,6,1
D00576,7,17,7650,119,0
D00577,15,3,1350,18,0
D00578,1,1,450,1,1
D00579,0,8,3600,40,1
D00580,0,4,1800,24,1
D00581,0,2,900,10,1
D00582,0,1,450,0,1
D00583,7,2,900,14,0
D00584,3,9,4050,45,1
D00585,1,1,450,1,1
D00586,1,2,900,12,1
D00587,1,1,450,1,1
D00588,12,3,1350,12,0
D00589,16,11,4950,33,0
D00590,1,21,9450,120,1
D00591,10,2,900,10,0
D00592,8,2,900,10,0
D00593,13,4,1800,20,0
D00594,2,1,450,2,1
D00595,1,3,1350,9,1
D00596,0,1,450,0,1
D00597,4,2,900,6,0
D00598,7,3,1350,9,0
D00599,2,2,900,8,1
D00600,1,27,12150,81,1
D00601,4,1,450,4,0
D00602,5,1,450,5,0
D00603,0,1,450,0,1
D00604,0,2,900,8,1
D00605,2,3,1350,21,1
D00606,6,9,4050,36,0
D00607,1,50,22500,120,1
D00608,5,1,450,5,0
D00609,7,16,7200,48,0
D00610,7,10,4500,60,0
D00611,2,3,1350,18,1
D00612,10,2,900,10,0
D00613,2,2,900,14,1
D00614,5,1,450,5,0
D00615,1,6,2700,24,1
D00616,22,8,3600,32,0
D00617,3,1,450,3,1
D00618,1,2,900,10,1
D00619,4,9,4050,27,0
D00620,3,1,450,3,1
D00621,5,1,450,5,0
D00622,8,2,900,8,0
D00623,4,1,450,4,0
D00624,6,2,900,12,0
D00625,8,2,900,8,0
D00626,1,1,450,1,1
D00627,5,2,900,14,0
D00628,12,3,1350,15,0
D00629,0,7,3150,49,1
D00630,15,5,2250,15,0
D00631,5,3,1350,12,0
D00632,12,4,1800,12,0
D00633,3,2,900,12,1
D00634,4,4,1800,24,0
D00635,2,5,2250,30,1
D00636,5,1,450,5,0
D00637,0,2,900,14,1
D00638,1,2,900,12,1
D00639,8,3,1350,21,0
D00640,20,4,1800,20,0
D00641,3,1,450,3,1
D00642,7,7,3150,35,0
D00643,7,10,4500,60,0
D00644,11,4,1800,12,0
D00645,18,4,1800,24,0
D00646,6,50,22500,120,0
D00647,1,1,450,1,1
D00648,3,1,450,3,1
D00649,1,5,2250,15,1
D00650,3,3,1350,21,1
D00651,10,2,900,12,0
D00652,4,2,900,8,0
D00653,10,8,3600,32,0
D00654,4,1,450,4,0
D00655,2,1,450,2,1
D00656,1,10,4500,70,1
D00657,5,2,900,14,0
D00658,3,2,900,8,1
D00659,7,2,900,14,0
D00660,11,5,2250,20,0
D00661,5,1,450,5,0
D00662,4,2,900,14,0
D00663,4,4,1800,28,0
D00664,8,2,900,14,0
D00665,4,5,2250,30,0
D00666,5,3,1350,9,0
D00667,2,1,450,2,1
D00668,3,1,450,3,1
D00669,3,3,1350,12,1
D00670,0,8,3600,56,1
D00671,6,6,2700,18,0
D00672,0,1,450,0,1
D00673,9,4,1800,24,0
D00674,1,1,450,1,1
D00675,2,5,2250,35,1
D00676,3,2,900,12,1
D00677,4,1,450,4,0
D00678,2,6,2700,18,1
D00679,6,2,900,6,0
D00680,0,11,4950,77,1
D00681,15,5,2250,15,0
D00682,1,4,1800,28,1
D00683,3,2,900,8,1
D00684,5,6,2700,18,0
D00685,4,7,3150,49,0
D00686,2,4,1800,12,1
D00687,5,1,450,5,0
D00688,6,2,900,6,0
D00689,0,5,2250,30,1
D00690,2,2,900,10,1
D00691,0,1,450,0,1
D00692,8,2,900,14,0
D00693,1,1,450,1,1
D00694,3,1,450,3,1
D00695,6,6,2700,42,0
D00696,1,7,3150,28,1
D00697,4,1,450,4,0
D00698,2,16,7200,48,1
D00699,9,7,3150,49,0
D00700,6,3,1350,15,0
D00701,2,16,7200,64,1
D00702,2,2,900,10,1
D00703,0,3,1350,9,1
D00704,2,1,450,2,1
D00705,4,5,2250,20,0
D00706,3,6,2700,30,1
D00707,7,2,900,10,0
D00708,2,7,3150,49,1
D00709,0,24,10800,120,1
D00710,8,2,900,10,0
D00711,1,1,450,1,1
D00712,19,6,2700,24,0
D00713,1,9,4050,54,1
D00714,0,1,450,0,1
D00715,8,2,900,14,0
D00716,5,1,450,5,0
D00717,3,2,900,8,1
D00718,4,1,450,4,0
D00719,14,2,900,14,0
D00720,7,2,900,8,0
D00721,4,1,450,4,0
D00722,3,2,900,6,1
D00723,3,1,450,3,1
D00724,2,1,450,2,1
D00725,1,2,900,6,1
D00726,3,2,900,8,1
D00727,2,1,450,2,1
D00728,6,2,900,8,0
D00729,1,2,900,6,1
D00730,0,7,3150,21,1
D00731,1,1,450,1,1
D00732,3,1,450,3,1
D00733,0,2,900,12,1
D00734,5,1,450,5,0
D00735,6,2,900,12,0
D00736,1,1,450,1,1
D00737,2,41,18450,120,1
D00738,2,3,1350,21,1
D00739,9,7,3150,35,0
D00740,4,3,1350,9,0
D00741,2,1,450,2,1
D00742,11,14,6300,98,0
D00743,15,5,2250,25,0
D00744,32,5,2250,35,0
D00745,2,3,1350,9,1
D00746,0,1,450,0,1
D00747,2,1,450,2,1
D00748,7,3,1350,12,0
D00749,0,2,900,14,1
D00750,6,2,900,12,0
D00751,4,1,450,4,0
D00752,1,3,1350,18,1
D00753,12,2,900,12,0
D00754,5,1,450,5,0
D00755,2,4,1800,28,1
D00756,7,3,1350,15,0
D00757,0,13,5850,65,1
D00758,11,11,4950,55,0
D00759,7,2,900,10,0
D00760,9,3,1350,18,0
D00761,1,4,1800,12,1
D00762,10,6,2700,24,0
D00763,3,15,6750,105,1
D00764,5,2,900,10,0
D00765,4,1,450,4,0
D00766,0,1,450,0,1
D00767,2,1,450,2,1
D00768,3,1,450,3,1
D00769,4,2,900,10,0
D00770,3,9,4050,54,1
D00771,5,4,1800,28,0
D00772,3,1,450,3,1
D00773,4,3,1350,9,0
D00774,0,1,450,0,1
D00775,0,14,6300,98,1
D00776,5,1,450,5,0
D00777,0,1,450,0,1
D00778,1,1,450,1,1
D00779,1,1,450,1,1
D00780,1,4,1800,24,1
D00781,0,1,450,0,1
D00782,2,3,1350,15,1
D00783,5,1,450,5,0
D00784,0,1,450,0,1
D00785,1,6,2700,30,1
D00786,2,2,900,8,1
D00787,4,1,450,4,0
D00788,2,1,450,2,1
D00789,2,1,450,2,1
D00790,4,4,1800,28,0
D00791,1,1,450,1,1
D00792,4,9,4050,54,0
D00793,6,4,1800,16,0
D00794,1,3,1350,18,1
D00795,7,5,2250,25,0
D00796,2,4,1800,24,1
D00797,1,1,450,1,1
D00798,3,1,450,3,1
D00799,5,2,900,6,0
D00800,1,5,2250,30,1
D00801,1,2,900,6,1
D00802,1,3,1350,9,1
D00803,1,3,1350,15,1
D00804,8,2,900,8,0
D00805,2,1,450,2,1
D00806,21,6,2700,42,0
D00807,15,3,1350,15,0
D00808,5,23,10350,92,0
D00809,1,2,900,12,1
D00810,8,16,7200,96,0
D00811,1,4,1800,24,1
D00812,2,5,2250,20,1
D00813,0,2,900,12,1
D00814,11,2,900,12,0
D00815,3,5,2250,30,1
D00816,3,4,1800,28,1
D00817,8,6,2700,42,0
D00818,5,1,450,5,0
D00819,9,2,900,10,0
D00820,0,1,450,0,1
D00821,1,2,900,12,1
D00822,0,1,450,0,1
D00823,9,3,1350,9,0
D00824,7,2,900,10,0
D00825,1,1,450,1,1
D00826,3,1,450,3,1
D00827,5,2,900,12,0
D00828,8,4,1800,16,0
D00829,0,4,1800,24,1
D00830,7,2,900,10,0
D00831,7,5,2250,20,0
D00832,4,1,450,4,0
D00833,5,5,2250,30,0
D00834,3,3,1350,15,1
D00835,5,7,3150,28,0
D00836,8,2,900,8,0
D00837,8,3,1350,9,0
D00838,5,1,450,5,0
D00839,2,2,900,10,1
D00840,3,1,450,3,1
D00841,1,2,900,8,1
D00842,1,1,450,1,1
D00843,5,1,450,5,0
D00844,2,7,3150,42,1
D00845,2,4,1800,16,1
D00846,8,4,1800,28,0
D00847,1,1,450,1,1
D00848,5,1,450,5,0
D00849,10,2,900,10,0
D00850,11,6,2700,42,0
D00851,0,4,1800,20,1
D00852,3,4,1800,12,1
D00853,3,3,1350,18,1
D00854,3,14,6300,84,1
D00855,5,1,450,5,0
D00856,5,2,900,6,0
D00857,3,4,1800,24,1
D00858,0,1,450,0,1
D00859,2,2,900,12,1
D00860,3,4,1800,20,1
D00861,2,1,450,2,1
D00862,3,5,2250,25,1
D00863,5,1,450,5,0
D00864,0,2,900,6,1
D00865,4,14,6300,84,0
D00866,0,2,900,8,1
D00867,0,6,2700,18,1
D00868,4,1,450,4,0
D00869,1,1,450,1,1
D00870,9,3,1350,18,0
D00871,12,5,2250,20,0
D00872,0,1,450,0,1
D00873,10,3,1350,12,0
D00874,4,22,9900,66,0
D00875,1,2,900,10,1
D00876,2,1,450,2,1
D00877,1,25,11250,120,1
D00878,6,2,900,10,0
D00879,4,1,450,4,0
D00880,7,4,1800,12,0
D00881,5,1,450,5,0
D00882,11,2,900,14,0
D00883,6,3,1350,21,0
D00884,2,4,1800,28,1
D00885,1,1,450,1,1
D00886,2,1,450,2,1
D00887,8,7,3150,35,0
D00888,4,1,450,4,0
D00889,5,1,450,5,0
D00890,0,1,450,0,1
D00891,2,23,10350,120,1
D00892,2,1,450,2,1
D00893,2,2,900,8,1
D00894,5,1,450,5,0
D00895,10,6,2700,42,0
D00896,1,3,1350,12,1
D00897,1,1,450,1,1
D00898,2,24,10800,96,1
D00899,3,1,450,3,1
D00900,2,1,450,2,1
D00901,3,3,1350,21,1
D00902,1,7,3150,35,1
D00903,3,1,450,3,1
D00904,3,12,5400,36,1
D00905,6,6,2700,30,0
D00906,9,3,1350,12,0
D00907,1,3,1350,15,1
D00908,5,1,450,5,0
D00909,5,50,22500,120,0
D00910,2,1,450,2,1
D00911,10,7,3150,35,0
D00912,7,3,1350,15,0
D00913,0,1,450,0,1
D00914,9,5,2250,15,0
D00915,11,3,1350,21,0
D00916,1,1,450,1,1
D00917,4,4,1800,24,0
D00918,3,2,900,14,1
D00919,3,32,14400,120,1
D00920,4,1,450,4,0
D00921,0,3,1350,15,1
D00922,2,1,450,2,1
D00923,6,2,900,6,0
D00924,7,2,900,8,0
D00925,3,4,1800,16,1
D00926,2,2,900,12,1
D00927,1,1,450,1,1
D00928,9,8,3600,56,0
D00929,4,1,450,4,0
D00930,4,1,450,4,0
D00931,0,3,1350,15,1
D00932,9,3,1350,18,0
D00933,3,2,900,6,1
D00934,25,5,2250,25,0
D00935,1,1,450,1,1
D00936,0,2,900,6,1
D00937,6,3,1350,18,0
D00938,5,1,450,5,0
D00939,5,8,3600,32,0
D00940,1,2,900,12,1
D00941,6,5,2250,25,0
D00942,10,14,6300,42,0
D00943,4,3,1350,21,0
D00944,3,1,450,3,1
D00945,15,4,1800,16,0
D00946,3,13,5850,65,1
D00947,3,1,450,3,1
D00948,3,2,900,8,1
D00949,2,2,900,14,1
D00950,2,1,450,2,1
D00951,1,1,450,1,1
D00952,7,3,1350,21,0
D00953,3,1,450,3,1
D00954,3,1,450,3,1
D00955,2,3,1350,15,1
D00956,6,2,900,6,0
D00957,4,1,450,4,0
D00958,4,1,450,4,0
D00959,6,2,900,12,0
D00960,3,8,3600,56,1
D00961,0,8,3600,56,1
D00962,6,2,900,8,0
D00963,2,6,2700,24,1
D00964,5,1,450,5,0
