date,component,supply_units,demand_units,utilized_units,wasted_units,utilization_rate,wastage_rate
2021-01-13,Cryoprecipitate,13,13,13,0,1.0,0.0
2021-01-13,Fresh Frozen Plasma,35,31,31,4,0.8857142857142857,0.11428571428571428
2021-01-13,Packed RBC,76,73,73,5,0.9605263157894737,0.06578947368421052
2021-01-13,Platelets,45,40,40,5,0.8888888888888888,0.1111111111111111
2021-01-14,Cryoprecipitate,14,12,12,2,0.8571428571428571,0.14285714285714285
2021-01-14,Fresh Frozen Plasma,31,29,29,3,0.9354838709677419,0.0967741935483871
2021-01-14,Packed RBC,127,115,115,13,0.905511811023622,0.10236220472440945
2021-01-14,Platelets,33,30,30,4,0.9090909090909091,0.12121212121212122
2021-01-15,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-01-15,Fresh Frozen Plasma,30,27,27,3,0.9,0.1
2021-01-15,Packed RBC,63,57,57,7,0.9047619047619048,0.1111111111111111
2021-01-15,Platelets,44,42,42,2,0.9545454545454546,0.045454545454545456
2021-01-16,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-01-16,Fresh Frozen Plasma,24,21,21,3,0.875,0.125
2021-01-16,Packed RBC,79,72,72,10,0.9113924050632911,0.12658227848101267
2021-01-16,Platelets,31,28,28,3,0.9032258064516129,0.0967741935483871
2021-01-17,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-01-17,Fresh Frozen Plasma,22,21,21,2,0.9545454545454546,0.09090909090909091
2021-01-17,Packed RBC,53,46,46,8,0.8679245283018868,0.1509433962264151
2021-01-17,Platelets,66,60,60,8,0.9090909090909091,0.12121212121212122
2021-01-18,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-01-18,Fresh Frozen Plasma,24,23,23,1,0.9583333333333334,0.041666666666666664
2021-01-18,Packed RBC,100,84,84,19,0.84,0.19
2021-01-18,Platelets,32,30,30,3,0.9375,0.09375
2021-01-19,Cryoprecipitate,17,15,15,2,0.8823529411764706,0.11764705882352941
2021-01-19,Fresh Frozen Plasma,28,26,26,2,0.9285714285714286,0.07142857142857142
2021-01-19,Packed RBC,97,92,92,6,0.9484536082474226,0.061855670103092786
2021-01-19,Platelets,42,38,38,5,0.9047619047619048,0.11904761904761904
2021-01-20,Cryoprecipitate,16,14,14,2,0.875,0.125
2021-01-20,Fresh Frozen Plasma,33,31,31,2,0.9393939393939394,0.06060606060606061
2021-01-20,Packed RBC,88,84,84,6,0.9545454545454546,0.06818181818181818
2021-01-20,Platelets,40,35,35,5,0.875,0.125
2021-01-21,Cryoprecipitate,13,13,13,0,1.0,0.0
2021-01-21,Fresh Frozen Plasma,27,24,24,3,0.8888888888888888,0.1111111111111111
2021-01-21,Packed RBC,100,87,87,16,0.87,0.16
2021-01-21,Platelets,43,38,38,6,0.8837209302325582,0.13953488372093023
2021-01-22,Cryoprecipitate,16,15,15,1,0.9375,0.0625
2021-01-22,Fresh Frozen Plasma,30,28,28,3,0.9333333333333333,0.1
2021-01-22,Packed RBC,88,78,78,13,0.8863636363636364,0.14772727272727273
2021-01-22,Platelets,43,40,40,4,0.9302325581395349,0.09302325581395349
2021-01-23,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-01-23,Fresh Frozen Plasma,45,38,38,7,0.8444444444444444,0.15555555555555556
2021-01-23,Packed RBC,78,72,72,7,0.9230769230769231,0.08974358974358974
2021-01-23,Platelets,32,30,30,2,0.9375,0.0625
2021-01-24,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-01-24,Fresh Frozen Plasma,20,18,18,2,0.9,0.1
2021-01-24,Packed RBC,67,59,59,9,0.8805970149253731,0.13432835820895522
2021-01-24,Platelets,35,31,31,4,0.8857142857142857,0.11428571428571428
2021-01-25,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-01-25,Fresh Frozen Plasma,41,38,38,4,0.926829268292683,0.0975609756097561
2021-01-25,Packed RBC,85,80,80,6,0.9411764705882353,0.07058823529411765
2021-01-25,Platelets,30,26,26,4,0.8666666666666667,0.13333333333333333
2021-01-26,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-01-26,Fresh Frozen Plasma,30,26,26,5,0.8666666666666667,0.16666666666666666
2021-01-26,Packed RBC,114,105,105,12,0.9210526315789473,0.10526315789473684
2021-01-26,Platelets,45,41,41,5,0.9111111111111111,0.1111111111111111
2021-01-27,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-01-27,Fresh Frozen Plasma,25,23,23,2,0.92,0.08
2021-01-27,Packed RBC,103,92,92,15,0.8932038834951457,0.14563106796116504
2021-01-27,Platelets,36,33,33,4,0.9166666666666666,0.1111111111111111
2021-01-28,Cryoprecipitate,18,16,16,2,0.8888888888888888,0.1111111111111111
2021-01-28,Fresh Frozen Plasma,34,31,31,3,0.9117647058823529,0.08823529411764706
2021-01-28,Packed RBC,122,106,106,21,0.8688524590163934,0.1721311475409836
2021-01-28,Platelets,33,32,32,2,0.9696969696969697,0.06060606060606061
2021-01-29,Cryoprecipitate,10,10,10,0,1.0,0.0
2021-01-29,Fresh Frozen Plasma,35,31,31,5,0.8857142857142857,0.14285714285714285
2021-01-29,Packed RBC,104,92,92,17,0.8846153846153846,0.16346153846153846
2021-01-29,Platelets,39,37,37,3,0.9487179487179487,0.07692307692307693
2021-01-30,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-01-30,Fresh Frozen Plasma,26,23,23,3,0.8846153846153846,0.11538461538461539
2021-01-30,Packed RBC,43,41,41,2,0.9534883720930233,0.046511627906976744
2021-01-30,Platelets,28,26,26,2,0.9285714285714286,0.07142857142857142
2021-01-31,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-01-31,Fresh Frozen Plasma,26,22,22,5,0.8461538461538461,0.19230769230769232
2021-01-31,Packed RBC,76,66,66,11,0.868421052631579,0.14473684210526316
2021-01-31,Platelets,28,25,25,3,0.8928571428571429,0.10714285714285714
2021-02-01,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-02-01,Fresh Frozen Plasma,37,32,32,6,0.8648648648648649,0.16216216216216217
2021-02-01,Packed RBC,98,89,89,10,0.9081632653061225,0.10204081632653061
2021-02-01,Platelets,39,33,33,6,0.8461538461538461,0.15384615384615385
2021-02-02,Cryoprecipitate,13,12,12,1,0.9230769230769231,0.07692307692307693
2021-02-02,Fresh Frozen Plasma,31,29,29,3,0.9354838709677419,0.0967741935483871
2021-02-02,Packed RBC,108,94,94,18,0.8703703703703703,0.16666666666666666
2021-02-02,Platelets,32,29,29,3,0.90625,0.09375
2021-02-03,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-02-03,Fresh Frozen Plasma,30,26,26,4,0.8666666666666667,0.13333333333333333
2021-02-03,Packed RBC,140,120,120,23,0.8571428571428571,0.16428571428571428
2021-02-03,Platelets,36,31,31,6,0.8611111111111112,0.16666666666666666
2021-02-04,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-02-04,Fresh Frozen Plasma,24,21,21,3,0.875,0.125
2021-02-04,Packed RBC,91,79,79,16,0.8681318681318682,0.17582417582417584
2021-02-04,Platelets,64,60,60,6,0.9375,0.09375
2021-02-05,Cryoprecipitate,20,17,17,3,0.85,0.15
2021-02-05,Fresh Frozen Plasma,26,24,24,2,0.9230769230769231,0.07692307692307693
2021-02-05,Packed RBC,103,91,91,16,0.883495145631068,0.1553398058252427
2021-02-05,Platelets,44,41,41,4,0.9318181818181818,0.09090909090909091
2021-02-06,Cryoprecipitate,10,10,10,0,1.0,0.0
2021-02-06,Fresh Frozen Plasma,30,27,27,4,0.9,0.13333333333333333
2021-02-06,Packed RBC,71,61,61,12,0.8591549295774648,0.16901408450704225
2021-02-06,Platelets,27,25,25,2,0.9259259259259259,0.07407407407407407
2021-02-07,Cryoprecipitate,13,12,12,1,0.9230769230769231,0.07692307692307693
2021-02-07,Fresh Frozen Plasma,28,24,24,5,0.8571428571428571,0.17857142857142858
2021-02-07,Packed RBC,58,50,50,10,0.8620689655172413,0.1724137931034483
2021-02-07,Platelets,19,18,18,1,0.9473684210526315,0.05263157894736842
2021-02-08,Cryoprecipitate,18,16,16,2,0.8888888888888888,0.1111111111111111
2021-02-08,Fresh Frozen Plasma,33,30,30,4,0.9090909090909091,0.12121212121212122
2021-02-08,Packed RBC,92,80,80,16,0.8695652173913043,0.17391304347826086
2021-02-08,Platelets,40,37,37,4,0.925,0.1
2021-02-09,Cryoprecipitate,10,10,10,0,1.0,0.0
2021-02-09,Fresh Frozen Plasma,26,23,23,4,0.8846153846153846,0.15384615384615385
2021-02-09,Packed RBC,112,97,97,18,0.8660714285714286,0.16071428571428573
2021-02-09,Platelets,46,39,39,8,0.8478260869565217,0.17391304347826086
2021-02-10,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-02-10,Fresh Frozen Plasma,35,30,30,5,0.8571428571428571,0.14285714285714285
2021-02-10,Packed RBC,102,91,91,12,0.8921568627450981,0.11764705882352941
2021-02-10,Platelets,29,28,28,1,0.9655172413793104,0.034482758620689655
2021-02-11,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-02-11,Fresh Frozen Plasma,32,31,31,2,0.96875,0.0625
2021-02-11,Packed RBC,130,118,118,17,0.9076923076923077,0.13076923076923078
2021-02-11,Platelets,34,32,32,3,0.9411764705882353,0.08823529411764706
2021-02-12,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-02-12,Fresh Frozen Plasma,28,24,24,5,0.8571428571428571,0.17857142857142858
2021-02-12,Packed RBC,118,106,106,14,0.8983050847457628,0.11864406779661017
2021-02-12,Platelets,43,36,36,9,0.8372093023255814,0.20930232558139536
2021-02-13,Cryoprecipitate,17,15,15,2,0.8823529411764706,0.11764705882352941
2021-02-13,Fresh Frozen Plasma,59,56,56,3,0.9491525423728814,0.05084745762711865
2021-02-13,Packed RBC,70,61,61,11,0.8714285714285714,0.15714285714285714
2021-02-13,Platelets,25,23,23,2,0.92,0.08
2021-02-14,Cryoprecipitate,10,9,9,1,0.9,0.1
2021-02-14,Fresh Frozen Plasma,17,17,17,0,1.0,0.0
2021-02-14,Packed RBC,80,70,70,11,0.875,0.1375
2021-02-14,Platelets,28,26,26,3,0.9285714285714286,0.10714285714285714
2021-02-15,Cryoprecipitate,10,10,10,0,1.0,0.0
2021-02-15,Fresh Frozen Plasma,28,26,26,3,0.9285714285714286,0.10714285714285714
2021-02-15,Packed RBC,78,73,73,7,0.9358974358974359,0.08974358974358974
2021-02-15,Platelets,39,34,34,5,0.8717948717948718,0.1282051282051282
2021-02-16,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-02-16,Fresh Frozen Plasma,34,31,31,3,0.9117647058823529,0.08823529411764706
2021-02-16,Packed RBC,103,87,87,19,0.8446601941747572,0.18446601941747573
2021-02-16,Platelets,38,35,35,3,0.9210526315789473,0.07894736842105263
2021-02-17,Cryoprecipitate,14,14,14,0,1.0,0.0
2021-02-17,Fresh Frozen Plasma,28,26,26,3,0.9285714285714286,0.10714285714285714
2021-02-17,Packed RBC,122,103,103,22,0.8442622950819673,0.18032786885245902
2021-02-17,Platelets,34,31,31,3,0.9117647058823529,0.08823529411764706
2021-02-18,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-02-18,Fresh Frozen Plasma,46,39,39,8,0.8478260869565217,0.17391304347826086
2021-02-18,Packed RBC,101,86,86,18,0.8514851485148515,0.1782178217821782
2021-02-18,Platelets,42,36,36,7,0.8571428571428571,0.16666666666666666
2021-02-19,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-02-19,Fresh Frozen Plasma,38,34,34,5,0.8947368421052632,0.13157894736842105
2021-02-19,Packed RBC,112,96,96,17,0.8571428571428571,0.15178571428571427
2021-02-19,Platelets,35,31,31,5,0.8857142857142857,0.14285714285714285
2021-02-20,Cryoprecipitate,11,10,10,1,0.9090909090909091,0.09090909090909091
2021-02-20,Fresh Frozen Plasma,21,20,20,1,0.9523809523809523,0.047619047619047616
2021-02-20,Packed RBC,78,72,72,7,0.9230769230769231,0.08974358974358974
2021-02-20,Platelets,26,22,22,4,0.8461538461538461,0.15384615384615385
2021-02-21,Cryoprecipitate,11,10,10,1,0.9090909090909091,0.09090909090909091
2021-02-21,Fresh Frozen Plasma,19,18,18,1,0.9473684210526315,0.05263157894736842
2021-02-21,Packed RBC,86,76,76,13,0.8837209302325582,0.1511627906976744
2021-02-21,Platelets,35,31,31,5,0.8857142857142857,0.14285714285714285
2021-02-22,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-02-22,Fresh Frozen Plasma,28,27,27,2,0.9642857142857143,0.07142857142857142
2021-02-22,Packed RBC,104,92,92,13,0.8846153846153846,0.125
2021-02-22,Platelets,43,40,40,4,0.9302325581395349,0.09302325581395349
2021-02-23,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-02-23,Fresh Frozen Plasma,38,32,32,7,0.8421052631578947,0.18421052631578946
2021-02-23,Packed RBC,84,73,73,12,0.8690476190476191,0.14285714285714285
2021-02-23,Platelets,25,23,23,3,0.92,0.12
2021-02-24,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-02-24,Fresh Frozen Plasma,29,28,28,1,0.9655172413793104,0.034482758620689655
2021-02-24,Packed RBC,94,87,87,10,0.925531914893617,0.10638297872340426
2021-02-24,Platelets,33,31,31,2,0.9393939393939394,0.06060606060606061
2021-02-25,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-02-25,Fresh Frozen Plasma,27,26,26,2,0.9629629629629629,0.07407407407407407
2021-02-25,Packed RBC,90,82,82,9,0.9111111111111111,0.1
2021-02-25,Platelets,40,36,36,5,0.9,0.125
2021-02-26,Cryoprecipitate,11,10,10,1,0.9090909090909091,0.09090909090909091
2021-02-26,Fresh Frozen Plasma,38,33,33,6,0.868421052631579,0.15789473684210525
2021-02-26,Packed RBC,106,99,99,9,0.9339622641509434,0.08490566037735849
2021-02-26,Platelets,31,28,28,4,0.9032258064516129,0.12903225806451613
2021-02-27,Cryoprecipitate,9,8,8,1,0.8888888888888888,0.1111111111111111
2021-02-27,Fresh Frozen Plasma,24,21,21,4,0.875,0.16666666666666666
2021-02-27,Packed RBC,72,69,69,4,0.9583333333333334,0.05555555555555555
2021-02-27,Platelets,19,18,18,1,0.9473684210526315,0.05263157894736842
2021-02-28,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-02-28,Fresh Frozen Plasma,23,21,21,2,0.9130434782608695,0.08695652173913043
2021-02-28,Packed RBC,74,69,69,7,0.9324324324324325,0.0945945945945946
2021-02-28,Platelets,26,25,25,2,0.9615384615384616,0.07692307692307693
2021-03-01,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-03-01,Fresh Frozen Plasma,26,22,22,4,0.8461538461538461,0.15384615384615385
2021-03-01,Packed RBC,90,80,80,11,0.8888888888888888,0.12222222222222222
2021-03-01,Platelets,36,33,33,4,0.9166666666666666,0.1111111111111111
2021-03-02,Cryoprecipitate,11,11,11,0,1.0,0.0
2021-03-02,Fresh Frozen Plasma,30,26,26,4,0.8666666666666667,0.13333333333333333
2021-03-02,Packed RBC,71,65,65,7,0.9154929577464789,0.09859154929577464
2021-03-02,Platelets,21,20,20,1,0.9523809523809523,0.047619047619047616
2021-03-03,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-03-03,Fresh Frozen Plasma,31,27,27,5,0.8709677419354839,0.16129032258064516
2021-03-03,Packed RBC,68,60,60,8,0.8823529411764706,0.11764705882352941
2021-03-03,Platelets,30,29,29,2,0.9666666666666667,0.06666666666666667
2021-03-04,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-03-04,Fresh Frozen Plasma,26,24,24,2,0.9230769230769231,0.07692307692307693
2021-03-04,Packed RBC,94,88,88,7,0.9361702127659575,0.07446808510638298
2021-03-04,Platelets,34,29,29,5,0.8529411764705882,0.14705882352941177
2021-03-05,Cryoprecipitate,14,14,14,0,1.0,0.0
2021-03-05,Fresh Frozen Plasma,28,27,27,2,0.9642857142857143,0.07142857142857142
2021-03-05,Packed RBC,133,113,113,23,0.849624060150376,0.17293233082706766
2021-03-05,Platelets,35,32,32,3,0.9142857142857143,0.08571428571428572
2021-03-06,Cryoprecipitate,21,19,19,2,0.9047619047619048,0.09523809523809523
2021-03-06,Fresh Frozen Plasma,19,18,18,1,0.9473684210526315,0.05263157894736842
2021-03-06,Packed RBC,71,65,65,7,0.9154929577464789,0.09859154929577464
2021-03-06,Platelets,20,19,19,1,0.95,0.05
2021-03-07,Cryoprecipitate,14,12,12,2,0.8571428571428571,0.14285714285714285
2021-03-07,Fresh Frozen Plasma,13,13,13,0,1.0,0.0
2021-03-07,Packed RBC,65,57,57,8,0.8769230769230769,0.12307692307692308
2021-03-07,Platelets,15,15,15,0,1.0,0.0
2021-03-08,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-03-08,Fresh Frozen Plasma,25,24,24,2,0.96,0.08
2021-03-08,Packed RBC,106,91,91,19,0.8584905660377359,0.1792452830188679
2021-03-08,Platelets,38,35,35,3,0.9210526315789473,0.07894736842105263
2021-03-09,Cryoprecipitate,18,16,16,2,0.8888888888888888,0.1111111111111111
2021-03-09,Fresh Frozen Plasma,28,26,26,2,0.9285714285714286,0.07142857142857142
2021-03-09,Packed RBC,70,61,61,12,0.8714285714285714,0.17142857142857143
2021-03-09,Platelets,22,21,21,1,0.9545454545454546,0.045454545454545456
2021-03-10,Cryoprecipitate,20,17,17,3,0.85,0.15
2021-03-10,Fresh Frozen Plasma,31,30,30,1,0.967741935483871,0.03225806451612903
2021-03-10,Packed RBC,107,101,101,7,0.9439252336448598,0.06542056074766354
2021-03-10,Platelets,25,24,24,1,0.96,0.04
2021-03-11,Cryoprecipitate,11,11,11,0,1.0,0.0
2021-03-11,Fresh Frozen Plasma,29,26,26,3,0.896551724137931,0.10344827586206896
2021-03-11,Packed RBC,75,71,71,4,0.9466666666666667,0.05333333333333334
2021-03-11,Platelets,33,28,28,5,0.8484848484848485,0.15151515151515152
2021-03-12,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-03-12,Fresh Frozen Plasma,26,23,23,4,0.8846153846153846,0.15384615384615385
2021-03-12,Packed RBC,59,54,54,6,0.9152542372881356,0.1016949152542373
2021-03-12,Platelets,31,29,29,2,0.9354838709677419,0.06451612903225806
2021-03-13,Cryoprecipitate,10,9,9,1,0.9,0.1
2021-03-13,Fresh Frozen Plasma,20,19,19,1,0.95,0.05
2021-03-13,Packed RBC,72,65,65,8,0.9027777777777778,0.1111111111111111
2021-03-13,Platelets,23,21,21,2,0.9130434782608695,0.08695652173913043
2021-03-14,Cryoprecipitate,14,13,13,1,0.9285714285714286,0.07142857142857142
2021-03-14,Fresh Frozen Plasma,20,19,19,1,0.95,0.05
2021-03-14,Packed RBC,57,53,53,6,0.9298245614035088,0.10526315789473684
2021-03-14,Platelets,26,22,22,4,0.8461538461538461,0.15384615384615385
2021-03-15,Cryoprecipitate,12,12,12,0,1.0,0.0
2021-03-15,Fresh Frozen Plasma,28,27,27,2,0.9642857142857143,0.07142857142857142
2021-03-15,Packed RBC,86,78,78,9,0.9069767441860465,0.10465116279069768
2021-03-15,Platelets,37,32,32,6,0.8648648648648649,0.16216216216216217
2021-03-16,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-03-16,Fresh Frozen Plasma,40,34,34,7,0.85,0.175
2021-03-16,Packed RBC,77,66,66,12,0.8571428571428571,0.15584415584415584
2021-03-16,Platelets,25,24,24,1,0.96,0.04
2021-03-17,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-03-17,Fresh Frozen Plasma,26,24,24,2,0.9230769230769231,0.07692307692307693
2021-03-17,Packed RBC,93,86,86,9,0.9247311827956989,0.0967741935483871
2021-03-17,Platelets,41,36,36,5,0.8780487804878049,0.12195121951219512
2021-03-18,Cryoprecipitate,14,12,12,2,0.8571428571428571,0.14285714285714285
2021-03-18,Fresh Frozen Plasma,23,20,20,4,0.8695652173913043,0.17391304347826086
2021-03-18,Packed RBC,68,64,64,4,0.9411764705882353,0.058823529411764705
2021-03-18,Platelets,35,33,33,2,0.9428571428571428,0.05714285714285714
2021-03-19,Cryoprecipitate,17,15,15,2,0.8823529411764706,0.11764705882352941
2021-03-19,Fresh Frozen Plasma,35,30,30,6,0.8571428571428571,0.17142857142857143
2021-03-19,Packed RBC,82,76,76,8,0.926829268292683,0.0975609756097561
2021-03-19,Platelets,32,28,28,5,0.875,0.15625
2021-03-20,Cryoprecipitate,9,8,8,1,0.8888888888888888,0.1111111111111111
2021-03-20,Fresh Frozen Plasma,19,16,16,3,0.8421052631578947,0.15789473684210525
2021-03-20,Packed RBC,67,59,59,10,0.8805970149253731,0.14925373134328357
2021-03-20,Platelets,25,23,23,2,0.92,0.08
2021-03-21,Cryoprecipitate,9,9,9,0,1.0,0.0
2021-03-21,Fresh Frozen Plasma,19,17,17,2,0.8947368421052632,0.10526315789473684
2021-03-21,Packed RBC,62,54,54,8,0.8709677419354839,0.12903225806451613
2021-03-21,Platelets,25,23,23,2,0.92,0.08
2021-03-22,Cryoprecipitate,14,12,12,2,0.8571428571428571,0.14285714285714285
2021-03-22,Fresh Frozen Plasma,34,33,33,1,0.9705882352941176,0.029411764705882353
2021-03-22,Packed RBC,105,96,96,12,0.9142857142857143,0.11428571428571428
2021-03-22,Platelets,29,27,27,2,0.9310344827586207,0.06896551724137931
2021-03-23,Cryoprecipitate,15,14,14,1,0.9333333333333333,0.06666666666666667
2021-03-23,Fresh Frozen Plasma,34,31,31,4,0.9117647058823529,0.11764705882352941
2021-03-23,Packed RBC,100,88,88,14,0.88,0.14
2021-03-23,Platelets,43,37,37,6,0.8604651162790697,0.13953488372093023
2021-03-24,Cryoprecipitate,13,13,13,0,1.0,0.0
2021-03-24,Fresh Frozen Plasma,31,27,27,4,0.8709677419354839,0.12903225806451613
2021-03-24,Packed RBC,88,80,80,12,0.9090909090909091,0.13636363636363635
2021-03-24,Platelets,38,34,34,4,0.8947368421052632,0.10526315789473684
2021-03-25,Cryoprecipitate,15,13,13,2,0.8666666666666667,0.13333333333333333
2021-03-25,Fresh Frozen Plasma,41,35,35,6,0.8536585365853658,0.14634146341463414
2021-03-25,Packed RBC,102,94,94,9,0.9215686274509803,0.08823529411764706
2021-03-25,Platelets,34,30,30,5,0.8823529411764706,0.14705882352941177
2021-03-26,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-03-26,Fresh Frozen Plasma,34,31,31,4,0.9117647058823529,0.11764705882352941
2021-03-26,Packed RBC,95,85,85,11,0.8947368421052632,0.11578947368421053
2021-03-26,Platelets,38,33,33,6,0.868421052631579,0.15789473684210525
2021-03-27,Cryoprecipitate,11,10,10,1,0.9090909090909091,0.09090909090909091
2021-03-27,Fresh Frozen Plasma,24,21,21,4,0.875,0.16666666666666666
2021-03-27,Packed RBC,50,44,44,7,0.88,0.14
2021-03-27,Platelets,24,23,23,1,0.9583333333333334,0.041666666666666664
2021-03-28,Cryoprecipitate,12,11,11,1,0.9166666666666666,0.08333333333333333
2021-03-28,Fresh Frozen Plasma,20,18,18,2,0.9,0.1
2021-03-28,Packed RBC,75,66,66,12,0.88,0.16
2021-03-28,Platelets,17,16,16,1,0.9411764705882353,0.058823529411764705
2021-03-29,Cryoprecipitate,17,15,15,2,0.8823529411764706,0.11764705882352941
2021-03-29,Fresh Frozen Plasma,28,26,26,2,0.9285714285714286,0.07142857142857142
