donor_id,Recency,Frequency,Monetary,Time,donated_last_quarter,Cluster,Segment
D00080,10,2,900,10,0,0,New Donors
D00081,0,3,1350,12,1,3,New Donors
D00082,1,1,450,1,1,3,New Donors
D00083,2,1,450,2,1,3,New Donors
D00084,0,4,1800,28,1,3,New Donors
D00085,2,44,19800,120,1,4,Loyal
D00086,2,1,450,2,1,3,New Donors
D00087,7,4,1800,28,0,0,New Donors
D00088,0,2,900,10,1,3,New Donors
D00089,9,3,1350,9,0,0,New Donors
D00090,1,9,4050,36,1,3,New Donors
D00091,10,2,900,10,0,0,New Donors
D00092,0,3,1350,15,1,3,New Donors
D00093,0,3,1350,15,1,3,New Donors
D00094,4,5,2250,25,0,0,New Donors
D00095,9,2,900,12,0,0,New Donors
D00096,4,1,450,4,0,0,New Donors
D00097,0,5,2250,15,1,3,New Donors
D00098,3,1,450,3,1,3,New Donors
D00099,0,2,900,12,1,3,New Donors
D00100,17,3,1350,18,0,1,At Risk
D00101,1,1,450,1,1,3,New Donors
D00102,10,2,900,10,0,0,New Donors
D00103,12,6,2700,30,0,1,At Risk
D00104,12,2,900,12,0,1,At Risk
D00105,3,1,450,3,1,3,New Donors
D00106,0,6,2700,42,1,3,New Donors
D00107,3,1,450,3,1,3,New Donors
D00108,5,2,900,14,0,0,New Donors
D00109,2,1,450,2,1,3,New Donors
D00110,1,1,450,1,1,3,New Donors
D00111,2,1,450,2,1,3,New Donors
D00112,3,3,1350,18,1,3,New Donors
D00113,9,6,2700,30,0,0,New Donors
D00114,3,2,900,8,1,3,New Donors
D00115,10,2,900,10,0,0,New Donors
D00116,2,4,1800,16,1,3,New Donors
D00117,1,2,900,6,1,3,New Donors
D00118,0,2,900,12,1,3,New Donors
D00119,4,2,900,14,0,0,New Donors
D00120,6,2,900,8,0,0,New Donors
D00121,6,2,900,6,0,0,New Donors
D00122,2,1,450,2,1,3,New Donors
D00123,8,4,1800,24,0,0,New Donors
D00124,4,1,450,4,0,0,New Donors
D00125,16,5,2250,25,0,1,At Risk
D00126,14,6,2700,36,0,1,At Risk
D00127,5,2,900,12,0,0,New Donors
D00128,0,1,450,0,1,3,New Donors
D00129,2,2,900,14,1,3,New Donors
D00130,0,5,2250,30,1,3,New Donors
D00131,4,1,450,4,0,0,New Donors
D00132,9,3,1350,9,0,0,New Donors
D00133,5,1,450,5,0,0,New Donors
D00134,5,1,450,5,0,0,New Donors
D00135,5,1,450,5,0,0,New Donors
D00136,1,1,450,1,1,3,New Donors
D00137,0,2,900,12,1,3,New Donors
D00138,0,2,900,14,1,3,New Donors
D00139,8,24,10800,120,0,2,Loyal
D00140,1,3,1350,9,1,3,New Donors
D00141,11,2,900,12,0,1,At Risk
D00142,2,5,2250,35,1,3,New Donors
D00143,17,5,2250,20,0,1,At Risk
D00144,3,1,450,3,1,3,New Donors
D00145,4,6,2700,42,0,0,New Donors
D00146,3,1,450,3,1,3,New Donors
D00147,3,47,21150,120,1,4,Loyal
D00148,3,6,2700,18,1,3,New Donors
D00149,12,3,1350,12,0,1,At Risk
D00150,6,3,1350,21,0,0,New Donors
D00151,0,2,900,14,1,3,New Donors
D00152,8,5,2250,30,0,0,New Donors
D00153,21,3,1350,21,0,1,At Risk
D00154,5,1,450,5,0,0,New Donors
D00155,5,4,1800,28,0,0,New Donors
D00156,6,7,3150,21,0,0,New Donors
D00157,2,1,450,2,1,3,New Donors
D00158,3,6,2700,42,1,3,New Donors
D00159,0,2,900,8,1,3,New Donors
D00160,1,4,1800,28,1,3,New Donors
D00161,10,7,3150,42,0,1,At Risk
D00162,0,1,450,0,1,3,New Donors
D00163,0,1,450,0,1,3,New Donors
D00164,6,2,900,14,0,0,New Donors
D00165,8,7,3150,42,0,0,New Donors
D00166,3,1,450,3,1,3,New Donors
D00167,3,1,450,3,1,3,New Donors
D00168,3,1,450,3,1,3,New Donors
D00169,10,3,1350,15,0,0,New Donors
D00170,5,1,450,5,0,0,New Donors
D00171,16,4,1800,28,0,1,At Risk
D00172,0,1,450,0,1,3,New Donors
D00173,2,9,4050,45,1,2,Loyal
D00174,9,27,12150,120,0,2,Loyal
D00175,4,1,450,4,0,0,New Donors
D00176,1,1,450,1,1,3,New Donors
D00177,0,1,450,0,1,3,New Donors
D00178,9,3,1350,9,0,0,New Donors
D00179,4,6,2700,30,0,0,New Donors
D00180,9,3,1350,21,0,0,New Donors
D00181,3,2,900,12,1,3,New Donors
D00182,4,18,8100,72,0,2,Loyal
D00183,0,3,1350,9,1,3,New Donors
D00184,0,2,900,6,1,3,New Donors
D00185,0,2,900,10,1,3,New Donors
D00186,0,2,900,12,1,3,New Donors
D00187,14,2,900,14,0,1,At Risk
D00188,0,2,900,14,1,3,New Donors
D00189,2,9,4050,45,1,2,Loyal
D00190,3,1,450,3,1,3,New Donors
D00191,7,6,2700,42,0,0,New Donors
D00192,0,1,450,0,1,3,New Donors
D00193,5,1,450,5,0,0,New Donors
D00194,10,8,3600,24,0,1,At Risk
D00195,4,1,450,4,0,0,New Donors
D00196,2,1,450,2,1,3,New Donors
D00197,5,21,9450,84,0,2,Loyal
D00198,3,3,1350,15,1,3,New Donors
D00199,4,1,450,4,0,0,New Donors
D00200,3,1,450,3,1,3,New Donors
D00201,0,2,900,8,1,3,New Donors
D00202,0,3,1350,12,1,3,New Donors
D00203,6,7,3150,28,0,0,New Donors
D00204,4,1,450,4,0,0,New Donors
D00205,10,5,2250,20,0,1,At Risk
D00206,0,1,450,0,1,3,New Donors
D00207,15,5,2250,20,0,1,At Risk
D00208,10,2,900,10,0,0,New Donors
D00209,5,2,900,12,0,0,New Donors
D00210,3,1,450,3,1,3,New Donors
D00211,1,1,450,1,1,3,New Donors
D00212,2,1,450,2,1,3,New Donors
D00213,3,1,450,3,1,3,New Donors
D00214,3,3,1350,9,1,3,New Donors
D00215,7,5,2250,25,0,0,New Donors
D00216,2,7,3150,35,1,3,New Donors
D00217,0,2,900,6,1,3,New Donors
D00218,3,1,450,3,1,3,New Donors
D00219,1,3,1350,9,1,3,New Donors
D00220,3,5,2250,20,1,3,New Donors
D00221,3,1,450,3,1,3,New Donors
D00222,5,4,1800,24,0,0,New Donors
D00223,0,2,900,6,1,3,New Donors
D00224,3,50,22500,120,1,4,Loyal
D00225,2,27,12150,120,1,2,Loyal
D00226,5,1,450,5,0,0,New Donors
D00227,6,24,10800,120,0,2,Loyal
D00228,7,2,900,10,0,0,New Donors
D00229,1,1,450,1,1,3,New Donors
D00230,7,2,900,10,0,0,New Donors
D00231,1,1,450,1,1,3,New Donors
D00232,1,2,900,10,1,3,New Donors
D00233,4,2,900,8,0,0,New Donors
D00234,5,4,1800,16,0,0,New Donors
D00235,1,6,2700,42,1,3,New Donors
D00236,12,2,900,12,0,1,At Risk
D00237,2,9,4050,45,1,2,Loyal
D00238,6,4,1800,12,0,0,New Donors
D00239,4,1,450,4,0,0,New Donors
D00240,18,3,1350,18,0,1,At Risk
D00241,12,3,1350,12,0,1,At Risk
D00242,1,17,7650,68,1,2,Loyal
D00243,1,4,1800,24,1,3,New Donors
D00244,0,1,450,0,1,3,New Donors
D00245,3,3,1350,18,1,3,New Donors
D00246,12,7,3150,42,0,1,At Risk
D00247,1,1,450,1,1,3,New Donors
D00248,1,5,2250,20,1,3,New Donors
D00249,3,1,450,3,1,3,New Donors
D00250,9,4,1800,16,0,0,New Donors
D00251,2,2,900,6,1,3,New Donors
D00252,5,1,450,5,0,0,New Donors
D00253,3,1,450,3,1,3,New Donors
D00254,14,20,9000,80,0,2,Loyal
D00255,3,1,450,3,1,3,New Donors
D00256,0,27,12150,120,1,2,Loyal
D00257,4,1,450,4,0,0,New Donors
D00258,5,1,450,5,0,0,New Donors
D00259,1,1,450,1,1,3,New Donors
D00260,5,1,450,5,0,0,New Donors
D00261,0,3,1350,18,1,3,New Donors
D00262,2,1,450,2,1,3,New Donors
D00263,2,1,450,2,1,3,New Donors
D00264,4,6,2700,24,0,0,New Donors
D00265,6,2,900,12,0,0,New Donors
D00266,5,10,4500,30,0,2,Loyal
D00267,1,8,3600,56,1,3,New Donors
D00268,5,7,3150,35,0,0,New Donors
D00269,10,2,900,10,0,0,New Donors
D00270,8,2,900,8,0,0,New Donors
D00271,8,2,900,12,0,0,New Donors
D00272,25,7,3150,49,0,1,At Risk
D00273,5,1,450,5,0,0,New Donors
D00274,1,1,450,1,1,3,New Donors
D00275,3,2,900,6,1,3,New Donors
D00276,2,2,900,6,1,3,New Donors
D00277,12,2,900,14,0,1,At Risk
D00278,2,2,900,6,1,3,New Donors
D00279,7,3,1350,9,0,0,New Donors
D00280,0,5,2250,20,1,3,New Donors
D00281,3,2,900,12,1,3,New Donors
D00282,4,1,450,4,0,0,New Donors
D00283,2,3,1350,21,1,3,New Donors
D00284,4,50,22500,120,0,4,Loyal
D00285,0,3,1350,15,1,3,New Donors
D00286,4,2,900,10,0,0,New Donors
D00287,0,2,900,6,1,3,New Donors
D00288,1,1,450,1,1,3,New Donors
D00289,2,1,450,2,1,3,New Donors
D00290,3,1,450,3,1,3,New Donors
D00291,4,1,450,4,0,0,New Donors
D00292,3,3,1350,15,1,3,New Donors
D00293,8,2,900,14,0,0,New Donors
D00294,4,1,450,4,0,0,New Donors
D00295,4,1,450,4,0,0,New Donors
D00296,0,1,450,0,1,3,New Donors
D00297,5,1,450,5,0,0,New Donors
D00298,0,2,900,12,1,3,New Donors
D00299,0,4,1800,20,1,3,New Donors
D00300,4,4,1800,28,0,0,New Donors
D00301,2,17,7650,85,1,2,Loyal
D00302,4,1,450,4,0,0,New Donors
D00303,12,2,900,12,0,1,At Risk
D00304,3,7,3150,35,1,3,New Donors
D00305,0,4,1800,12,1,3,New Donors
D00306,0,3,1350,18,1,3,New Donors
D00307,5,6,2700,30,0,0,New Donors
D00308,1,1,450,1,1,3,New Donors
D00309,3,2,900,12,1,3,New Donors
D00310,1,1,450,1,1,3,New Donors
D00311,12,4,1800,12,0,1,At Risk
D00312,0,12,5400,48,1,2,Loyal
D00313,1,2,900,14,1,3,New Donors
D00314,2,2,900,8,1,3,New Donors
D00315,4,6,2700,24,0,0,New Donors
D00316,4,1,450,4,0,0,New Donors
D00317,8,2,900,12,0,0,New Donors
D00318,18,9,4050,36,0,1,At Risk
D00319,0,2,900,8,1,3,New Donors
D00320,10,3,1350,12,0,0,New Donors
D00321,7,20,9000,60,0,2,Loyal
D00322,4,1,450,4,0,0,New Donors
D00323,1,12,5400,84,1,2,Loyal
D00324,1,2,900,6,1,3,New Donors
D00325,4,6,2700,36,0,0,New Donors
D00326,2,2,900,6,1,3,New Donors
D00327,0,1,450,0,1,3,New Donors
D00328,4,2,900,6,0,0,New Donors
D00329,3,1,450,3,1,3,New Donors
D00330,0,24,10800,120,1,2,Loyal
D00331,3,1,450,3,1,3,New Donors
D00332,1,4,1800,20,1,3,New Donors
D00333,1,1,450,1,1,3,New Donors
D00334,1,1,450,1,1,3,New Donors
D00335,6,4,1800,28,0,0,New Donors
D00336,0,1,450,0,1,3,New Donors
D00337,4,1,450,4,0,0,New Donors
D00338,0,4,1800,20,1,3,New Donors
D00339,4,1,450,4,0,0,New Donors
D00340,1,1,450,1,1,3,New Donors
D00341,11,5,2250,35,0,1,At Risk
D00342,0,1,450,0,1,3,New Donors
D00343,0,4,1800,12,1,3,New Donors
D00344,3,1,450,3,1,3,New Donors
D00345,8,2,900,10,0,0,New Donors
D00346,6,4,1800,12,0,0,New Donors
D00347,9,3,1350,15,0,0,New Donors
D00348,0,5,2250,20,1,3,New Donors
D00349,1,2,900,6,1,3,New Donors
D00350,14,42,18900,120,0,4,Loyal
D00351,12,12,5400,36,0,1,At Risk
D00352,4,1,450,4,0,0,New Donors
D00353,13,5,2250,25,0,1,At Risk
D00354,8,3,1350,9,0,0,New Donors
D00355,6,2,900,6,0,0,New Donors
D00356,1,3,1350,9,1,3,New Donors
D00357,7,12,5400,60,0,2,Loyal
D00358,0,1,450,0,1,3,New Donors
D00359,0,1,450,0,1,3,New Donors
D00360,3,3,1350,15,1,3,New Donors
D00361,3,1,450,3,1,3,New Donors
D00362,16,4,1800,16,0,1,At Risk
D00363,1,2,900,8,1,3,New Donors
D00364,1,33,14850,99,1,4,Loyal
D00365,2,7,3150,35,1,3,New Donors
D00366,3,11,4950,55,1,2,Loyal
D00367,6,2,900,10,0,0,New Donors
D00368,24,6,2700,30,0,1,At Risk
D00369,6,5,2250,25,0,0,New Donors
D00370,0,1,450,0,1,3,New Donors
D00371,31,13,5850,65,0,1,At Risk
D00372,18,10,4500,40,0,1,At Risk
D00373,6,2,900,6,0,0,New Donors
D00374,2,1,450,2,1,3,New Donors
D00375,4,1,450,4,0,0,New Donors
D00376,12,2,900,12,0,1,At Risk
D00377,1,1,450,1,1,3,New Donors
D00378,2,5,2250,35,1,3,New Donors
D00379,0,12,5400,48,1,2,Loyal
D00380,12,3,1350,12,0,1,At Risk
D00381,7,5,2250,30,0,0,New Donors
D00382,1,2,900,12,1,3,New Donors
D00383,7,3,1350,12,0,0,New Donors
D00384,1,1,450,1,1,3,New Donors
D00385,10,2,900,12,0,0,New Donors
D00386,2,7,3150,42,1,3,New Donors
D00387,3,5,2250,20,1,3,New Donors
D00388,2,1,450,2,1,3,New Donors
D00389,4,4,1800,20,0,0,New Donors
D00390,1,2,900,12,1,3,New Donors
D00391,1,2,900,6,1,3,New Donors
D00392,12,3,1350,12,0,1,At Risk
D00393,4,1,450,4,0,0,New Donors
D00394,5,5,2250,25,0,0,New Donors
D00395,8,2,900,8,0,0,New Donors
D00396,3,1,450,3,1,3,New Donors
D00397,2,2,900,10,1,3,New Donors
D00398,1,4,1800,16,1,3,New Donors
D00399,8,2,900,8,0,0,New Donors
D00400,3,2,900,6,1,3,New Donors
D00401,0,1,450,0,1,3,New Donors
D00402,6,5,2250,20,0,0,New Donors
D00403,10,2,900,10,0,0,New Donors
D00404,18,3,1350,18,0,1,At Risk
D00405,32,13,5850,91,0,1,At Risk
D00406,7,2,900,8,0,0,New Donors
D00407,4,6,2700,36,0,0,New Donors
D00408,3,4,1800,28,1,3,New Donors
D00409,0,2,900,14,1,3,New Donors
D00410,10,2,900,10,0,0,New Donors
D00411,4,2,900,6,0,0,New Donors
D00412,3,1,450,3,1,3,New Donors
D00413,0,1,450,0,1,3,New Donors
D00414,1,13,5850,52,1,2,Loyal
D00415,6,14,6300,70,0,2,Loyal
D00416,4,1,450,4,0,0,New Donors
D00417,8,2,900,8,0,0,New Donors
D00418,0,2,900,8,1,3,New Donors
D00419,12,2,900,12,0,1,At Risk
D00420,2,2,900,12,1,3,New Donors
D00421,3,1,450,3,1,3,New Donors
D00422,15,3,1350,15,0,1,At Risk
D00423,2,1,450,2,1,3,New Donors
D00424,0,6,2700,24,1,3,New Donors
D00425,7,6,2700,42,0,0,New Donors
D00426,2,1,450,2,1,3,New Donors
D00427,1,6,2700,18,1,3,New Donors
D00428,0,1,450,0,1,3,New Donors
D00429,0,4,1800,24,1,3,New Donors
D00430,0,2,900,12,1,3,New Donors
D00431,0,2,900,14,1,3,New Donors
D00432,2,1,450,2,1,3,New Donors
D00433,0,4,1800,24,1,3,New Donors
D00434,2,4,1800,28,1,3,New Donors
D00435,1,2,900,10,1,3,New Donors
D00436,4,1,450,4,0,0,New Donors
D00437,0,1,450,0,1,3,New Donors
D00438,1,2,900,12,1,3,New Donors
D00439,5,1,450,5,0,0,New Donors
D00440,9,4,1800,20,0,0,New Donors
D00441,0,1,450,0,1,3,New Donors
D00442,7,4,1800,16,0,0,New Donors
D00443,0,2,900,14,1,3,New Donors
D00444,11,3,1350,15,0,1,At Risk
D00445,0,1,450,0,1,3,New Donors
D00446,4,1,450,4,0,0,New Donors
D00447,6,33,14850,99,0,4,Loyal
D00448,4,1,450,4,0,0,New Donors
D00449,33,14,6300,84,0,1,At Risk
D00450,3,2,900,8,1,3,New Donors
D00451,10,4,1800,20,0,0,New Donors
D00452,1,4,1800,28,1,3,New Donors
D00453,5,1,450,5,0,0,New Donors
D00454,9,6,2700,18,0,0,New Donors
D00455,13,5,2250,15,0,1,At Risk
D00456,12,2,900,12,0,1,At Risk
D00457,4,1,450,4,0,0,New Donors
D00458,4,2,900,10,0,0,New Donors
D00459,1,9,4050,54,1,3,New Donors
D00460,4,41,18450,120,0,4,Loyal
D00461,8,2,900,8,0,0,New Donors
D00462,0,45,20250,120,1,4,Loyal
D00463,0,11,4950,77,1,2,Loyal
D00464,7,3,1350,9,0,0,New Donors
D00465,5,3,1350,15,0,0,New Donors
D00466,1,1,450,1,1,3,New Donors
D00467,11,6,2700,42,0,1,At Risk
D00468,0,2,900,10,1,3,New Donors
D00469,1,1,450,1,1,3,New Donors
D00470,0,5,2250,35,1,3,New Donors
D00471,3,4,1800,24,1,3,New Donors
D00472,7,8,3600,40,0,0,New Donors
D00473,0,1,450,0,1,3,New Donors
D00474,0,1,450,0,1,3,New Donors
D00475,4,1,450,4,0,0,New Donors
D00476,0,1,450,0,1,3,New Donors
D00477,2,1,450,2,1,3,New Donors
D00478,3,2,900,8,1,3,New Donors
D00479,0,3,1350,15,1,3,New Donors
D00480,2,1,450,2,1,3,New Donors
D00481,1,2,900,8,1,3,New Donors
D00482,5,1,450,5,0,0,New Donors
D00483,2,1,450,2,1,3,New Donors
D00484,3,2,900,10,1,3,New Donors
D00485,9,3,1350,9,0,0,New Donors
D00486,3,3,1350,12,1,3,New Donors
D00487,6,4,1800,24,0,0,New Donors
D00488,9,20,9000,60,0,2,Loyal
D00489,9,6,2700,24,0,0,New Donors
D00490,15,5,2250,15,0,1,At Risk
D00491,1,4,1800,12,1,3,New Donors
D00492,3,2,900,12,1,3,New Donors
D00493,5,1,450,5,0,0,New Donors
D00494,12,4,1800,12,0,1,At Risk
D00495,3,1,450,3,1,3,New Donors
D00496,1,1,450,1,1,3,New Donors
D00497,9,9,4050,54,0,1,At Risk
D00498,6,4,1800,24,0,0,New Donors
D00499,12,3,1350,18,0,1,At Risk
D00500,3,1,450,3,1,3,New Donors
D00501,2,4,1800,16,1,3,New Donors
D00502,1,1,450,1,1,3,New Donors
D00503,1,48,21600,120,1,4,Loyal
D00504,1,10,4500,40,1,2,Loyal
D00505,6,10,4500,70,0,2,Loyal
D00506,1,6,2700,30,1,3,New Donors
D00507,3,2,900,10,1,3,New Donors
D00508,10,6,2700,18,0,1,At Risk
D00509,19,6,2700,30,0,1,At Risk
D00510,0,3,1350,9,1,3,New Donors
D00511,0,1,450,0,1,3,New Donors
D00512,4,1,450,4,0,0,New Donors
D00513,6,2,900,6,0,0,New Donors
D00514,5,1,450,5,0,0,New Donors
D00515,20,23,10350,120,0,1,At Risk
D00516,4,5,2250,20,0,0,New Donors
D00517,1,2,900,12,1,3,New Donors
D00518,4,3,1350,18,0,0,New Donors
D00519,3,2,900,12,1,3,New Donors
D00520,1,2,900,12,1,3,New Donors
D00521,7,2,900,10,0,0,New Donors
D00522,1,6,2700,42,1,3,New Donors
D00523,2,2,900,8,1,3,New Donors
D00524,18,6,2700,18,0,1,At Risk
D00525,10,3,1350,18,0,0,New Donors
D00526,0,5,2250,20,1,3,New Donors
D00527,6,2,900,12,0,0,New Donors
D00528,0,2,900,8,1,3,New Donors
D00529,0,1,450,0,1,3,New Donors
D00530,1,1,450,1,1,3,New Donors
D00531,10,2,900,10,0,0,New Donors
D00532,9,5,2250,30,0,0,New Donors
D00533,0,3,1350,15,1,3,New Donors
D00534,4,1,450,4,0,0,New Donors
D00535,2,2,900,10,1,3,New Donors
D00536,18,6,2700,36,0,1,At Risk
D00537,3,1,450,3,1,3,New Donors
D00538,3,2,900,6,1,3,New Donors
D00539,5,5,2250,25,0,0,New Donors
D00540,0,1,450,0,1,3,New Donors
D00541,3,1,450,3,1,3,New Donors
D00542,1,5,2250,30,1,3,New Donors
D00543,3,1,450,3,1,3,New Donors
D00544,6,2,900,10,0,0,New Donors
D00545,4,8,3600,56,0,0,New Donors
D00546,5,1,450,5,0,0,New Donors
D00547,5,1,450,5,0,0,New Donors
D00548,0,4,1800,12,1,3,New Donors
D00549,8,50,22500,120,0,4,Loyal
D00550,4,2,900,10,0,0,New Donors
D00551,2,2,900,14,1,3,New Donors
D00552,4,1,450,4,0,0,New Donors
D00553,1,2,900,6,1,3,New Donors
D00554,4,1,450,4,0,0,New Donors
D00555,4,1,450,4,0,0,New Donors
D00556,1,42,18900,120,1,4,Loyal
D00557,2,50,22500,120,1,4,Loyal
D00558,4,1,450,4,0,0,New Donors
D00559,18,4,1800,28,0,1,At Risk
D00560,2,1,450,2,1,3,New Donors
D00561,13,5,2250,35,0,1,At Risk
D00562,4,1,450,4,0,0,New Donors
D00563,8,2,900,8,0,0,New Donors
D00564,5,1,450,5,0,0,New Donors
D00565,0,15,6750,105,1,2,Loyal
D00566,5,1,450,5,0,0,New Donors
D00567,2,1,450,2,1,3,New Donors
D00568,5,1,450,5,0,0,New Donors
D00569,2,2,900,12,1,3,New Donors
D00570,1,9,4050,27,1,3,New Donors
D00571,10,2,900,10,0,0,New Donors
D00572,2,1,450,2,1,3,New Donors
D00573,4,5,2250,35,0,0,New Donors
D00574,8,2,900,8,0,0,New Donors
D00575,1,2,900,6,1,3,New Donors
D00576,7,17,7650,119,0,2,Loyal
D00577,15,3,1350,18,0,1,At Risk
D00578,1,1,450,1,1,3,New Donors
D00579,0,8,3600,40,1,3,New Donors
D00580,0,4,1800,24,1,3,New Donors
D00581,0,2,900,10,1,3,New Donors
D00582,0,1,450,0,1,3,New Donors
D00583,7,2,900,14,0,0,New Donors
D00584,3,9,4050,45,1,2,Loyal
D00585,1,1,450,1,1,3,New Donors
D00586,1,2,900,12,1,3,New Donors
D00587,1,1,450,1,1,3,New Donors
D00588,12,3,1350,12,0,1,At Risk
D00589,16,11,4950,33,0,1,At Risk
D00590,1,21,9450,120,1,2,Loyal
D00591,10,2,900,10,0,0,New Donors
D00592,8,2,900,10,0,0,New Donors
D00593,13,4,1800,20,0,1,At Risk
D00594,2,1,450,2,1,3,New Donors
D00595,1,3,1350,9,1,3,New Donors
D00596,0,1,450,0,1,3,New Donors
D00597,4,2,900,6,0,0,New Donors
D00598,7,3,1350,9,0,0,New Donors
D00599,2,2,900,8,1,3,New Donors
D00600,1,27,12150,81,1,2,Loyal
D00601,4,1,450,4,0,0,New Donors
D00602,5,1,450,5,0,0,New Donors
D00603,0,1,450,0,1,3,New Donors
D00604,0,2,900,8,1,3,New Donors
D00605,2,3,1350,21,1,3,New Donors
D00606,6,9,4050,36,0,2,Loyal
D00607,1,50,22500,120,1,4,Loyal
D00608,5,1,450,5,0,0,New Donors
D00609,7,16,7200,48,0,2,Loyal
D00610,7,10,4500,60,0,2,Loyal
D00611,2,3,1350,18,1,3,New Donors
D00612,10,2,900,10,0,0,New Donors
D00613,2,2,900,14,1,3,New Donors
D00614,5,1,450,5,0,0,New Donors
D00615,1,6,2700,24,1,3,New Donors
D00616,22,8,3600,32,0,1,At Risk
D00617,3,1,450,3,1,3,New Donors
D00618,1,2,900,10,1,3,New Donors
D00619,4,9,4050,27,0,2,Loyal
D00620,3,1,450,3,1,3,New Donors
D00621,5,1,450,5,0,0,New Donors
D00622,8,2,900,8,0,0,New Donors
D00623,4,1,450,4,0,0,New Donors
D00624,6,2,900,12,0,0,New Donors
D00625,8,2,900,8,0,0,New Donors
D00626,1,1,450,1,1,3,New Donors
D00627,5,2,900,14,0,0,New Donors
D00628,12,3,1350,15,0,1,At Risk
D00629,0,7,3150,49,1,3,New Donors
D00630,15,5,2250,15,0,1,At Risk
D00631,5,3,1350,12,0,0,New Donors
D00632,12,4,1800,12,0,1,At Risk
D00633,3,2,900,12,1,3,New Donors
D00634,4,4,1800,24,0,0,New Donors
D00635,2,5,2250,30,1,3,New Donors
D00636,5,1,450,5,0,0,New Donors
D00637,0,2,900,14,1,3,New Donors
D00638,1,2,900,12,1,3,New Donors
D00639,8,3,1350,21,0,0,New Donors
D00640,20,4,1800,20,0,1,At Risk
D00641,3,1,450,3,1,3,New Donors
D00642,7,7,3150,35,0,0,New Donors
D00643,7,10,4500,60,0,2,Loyal
D00644,11,4,1800,12,0,1,At Risk
D00645,18,4,1800,24,0,1,At Risk
D00646,6,50,22500,120,0,4,Loyal
D00647,1,1,450,1,1,3,New Donors
D00648,3,1,450,3,1,3,New Donors
