date,component,blood_type,demand_units,day_of_week,month,is_weekend,is_holiday_season
2021-01-04,Packed RBC,A+,37,0,1,0,0
2021-01-04,Packed RBC,B+,26,0,1,0,0
2021-01-04,Packed RBC,AB+,5,0,1,0,0
2021-01-04,Packed RBC,O-,7,0,1,0,0
2021-01-04,Packed RBC,A-,2,0,1,0,0
2021-01-04,Packed RBC,B-,2,0,1,0,0
2021-01-04,Packed RBC,AB-,2,0,1,0,0
2021-01-04,Platelets,O+,36,0,1,0,0
2021-01-04,Platelets,A+,26,0,1,0,0
2021-01-04,Platelets,B+,20,0,1,0,0
2021-01-04,Platelets,AB+,3,0,1,0,0
2021-01-04,Platelets,O-,6,0,1,0,0
2021-01-04,Platelets,A-,2,0,1,0,0
2021-01-04,Platelets,B-,1,0,1,0,0
2021-01-04,Platelets,AB-,1,0,1,0,0
2021-01-04,Fresh Frozen Plasma,O+,13,0,1,0,0
2021-01-04,Fresh Frozen Plasma,A+,9,0,1,0,0
2021-01-04,Fresh Frozen Plasma,B+,8,0,1,0,0
2021-01-04,Fresh Frozen Plasma,AB+,1,0,1,0,0
2021-01-04,Fresh Frozen Plasma,O-,2,0,1,0,0
2021-01-04,Fresh Frozen Plasma,A-,1,0,1,0,0
2021-01-04,Fresh Frozen Plasma,B-,1,0,1,0,0
2021-01-04,Fresh Frozen Plasma,AB-,1,0,1,0,0
2021-01-04,Cryoprecipitate,O+,4,0,1,0,0
2021-01-04,Cryoprecipitate,A+,4,0,1,0,0
2021-01-04,Cryoprecipitate,B+,2,0,1,0,0
2021-01-04,Cryoprecipitate,AB+,1,0,1,0,0
2021-01-04,Cryoprecipitate,O-,1,0,1,0,0
2021-01-04,Cryoprecipitate,A-,1,0,1,0,0
2021-01-04,Cryoprecipitate,B-,1,0,1,0,0
2021-01-04,Cryoprecipitate,AB-,1,0,1,0,0
2021-01-05,Packed RBC,O+,46,1,1,0,0
2021-01-05,Packed RBC,A+,36,1,1,0,0
2021-01-05,Packed RBC,B+,24,1,1,0,0
2021-01-05,Packed RBC,AB+,7,1,1,0,0
2021-01-05,Packed RBC,O-,8,1,1,0,0
2021-01-05,Packed RBC,A-,3,1,1,0,0
2021-01-05,Packed RBC,B-,3,1,1,0,0
2021-01-05,Packed RBC,AB-,1,1,1,0,0
2021-01-05,Platelets,O+,14,1,1,0,0
2021-01-05,Platelets,A+,10,1,1,0,0
2021-01-05,Platelets,B+,8,1,1,0,0
2021-01-05,Platelets,AB+,2,1,1,0,0
2021-01-05,Platelets,O-,5,1,1,0,0
2021-01-05,Platelets,A-,1,1,1,0,0
2021-01-05,Platelets,B-,1,1,1,0,0
2021-01-05,Platelets,AB-,1,1,1,0,0
2021-01-05,Fresh Frozen Plasma,O+,12,1,1,0,0
2021-01-05,Fresh Frozen Plasma,A+,7,1,1,0,0
2021-01-05,Fresh Frozen Plasma,B+,6,1,1,0,0
2021-01-05,Fresh Frozen Plasma,AB+,1,1,1,0,0
2021-01-05,Fresh Frozen Plasma,O-,2,1,1,0,0
2021-01-05,Fresh Frozen Plasma,A-,1,1,1,0,0
2021-01-05,Fresh Frozen Plasma,B-,1,1,1,0,0
2021-01-05,Fresh Frozen Plasma,AB-,1,1,1,0,0
2021-01-05,Cryoprecipitate,O+,3,1,1,0,0
2021-01-05,Cryoprecipitate,A+,2,1,1,0,0
2021-01-05,Cryoprecipitate,B+,2,1,1,0,0
2021-01-05,Cryoprecipitate,AB+,1,1,1,0,0
2021-01-05,Cryoprecipitate,O-,1,1,1,0,0
2021-01-05,Cryoprecipitate,A-,2,1,1,0,0
2021-01-05,Cryoprecipitate,B-,1,1,1,0,0
2021-01-05,Cryoprecipitate,AB-,1,1,1,0,0
2021-01-06,Packed RBC,O+,39,2,1,0,0
2021-01-06,Packed RBC,A+,30,2,1,0,0
2021-01-06,Packed RBC,B+,22,2,1,0,0
2021-01-06,Packed RBC,AB+,3,2,1,0,0
2021-01-06,Packed RBC,O-,5,2,1,0,0
2021-01-06,Packed RBC,A-,3,2,1,0,0
2021-01-06,Packed RBC,B-,2,2,1,0,0
2021-01-06,Packed RBC,AB-,1,2,1,0,0
2021-01-06,Platelets,O+,21,2,1,0,0
2021-01-06,Platelets,A+,16,2,1,0,0
2021-01-06,Platelets,B+,11,2,1,0,0
2021-01-06,Platelets,AB+,2,2,1,0,0
2021-01-06,Platelets,O-,2,2,1,0,0
2021-01-06,Platelets,A-,1,2,1,0,0
2021-01-06,Platelets,B-,1,2,1,0,0
2021-01-06,Platelets,AB-,1,2,1,0,0
2021-01-06,Fresh Frozen Plasma,O+,9,2,1,0,0
2021-01-06,Fresh Frozen Plasma,A+,8,2,1,0,0
2021-01-06,Fresh Frozen Plasma,B+,3,2,1,0,0
2021-01-06,Fresh Frozen Plasma,AB+,1,2,1,0,0
2021-01-06,Fresh Frozen Plasma,O-,2,2,1,0,0
2021-01-06,Fresh Frozen Plasma,A-,1,2,1,0,0
2021-01-06,Fresh Frozen Plasma,B-,1,2,1,0,0
2021-01-06,Fresh Frozen Plasma,AB-,1,2,1,0,0
2021-01-06,Cryoprecipitate,O+,6,2,1,0,0
2021-01-06,Cryoprecipitate,A+,5,2,1,0,0
2021-01-06,Cryoprecipitate,B+,3,2,1,0,0
2021-01-06,Cryoprecipitate,AB+,1,2,1,0,0
2021-01-06,Cryoprecipitate,O-,1,2,1,0,0
2021-01-06,Cryoprecipitate,A-,1,2,1,0,0
2021-01-06,Cryoprecipitate,B-,1,2,1,0,0
2021-01-06,Cryoprecipitate,AB-,1,2,1,0,0
2021-01-07,Packed RBC,O+,29,3,1,0,0
2021-01-07,Packed RBC,A+,24,3,1,0,0
2021-01-07,Packed RBC,B+,17,3,1,0,0
2021-01-07,Packed RBC,AB+,3,3,1,0,0
2021-01-07,Packed RBC,O-,4,3,1,0,0
2021-01-07,Packed RBC,A-,1,3,1,0,0
2021-01-07,Packed RBC,B-,1,3,1,0,0
2021-01-07,Packed RBC,AB-,2,3,1,0,0
2021-01-07,Platelets,O+,13,3,1,0,0
2021-01-07,Platelets,A+,11,3,1,0,0
2021-01-07,Platelets,B+,5,3,1,0,0
2021-01-07,Platelets,AB+,3,3,1,0,0
2021-01-07,Platelets,O-,1,3,1,0,0
2021-01-07,Platelets,A-,1,3,1,0,0
2021-01-07,Platelets,B-,1,3,1,0,0
2021-01-07,Platelets,AB-,2,3,1,0,0
2021-01-07,Fresh Frozen Plasma,O+,9,3,1,0,0
2021-01-07,Fresh Frozen Plasma,A+,7,3,1,0,0
2021-01-07,Fresh Frozen Plasma,B+,4,3,1,0,0
2021-01-07,Fresh Frozen Plasma,AB+,3,3,1,0,0
2021-01-07,Fresh Frozen Plasma,O-,1,3,1,0,0
2021-01-07,Fresh Frozen Plasma,A-,1,3,1,0,0
2021-01-07,Fresh Frozen Plasma,B-,1,3,1,0,0
2021-01-07,Fresh Frozen Plasma,AB-,1,3,1,0,0
2021-01-07,Cryoprecipitate,O+,3,3,1,0,0
2021-01-07,Cryoprecipitate,A+,3,3,1,0,0
2021-01-07,Cryoprecipitate,B+,1,3,1,0,0
2021-01-07,Cryoprecipitate,AB+,1,3,1,0,0
2021-01-07,Cryoprecipitate,O-,1,3,1,0,0
2021-01-07,Cryoprecipitate,A-,1,3,1,0,0
2021-01-07,Cryoprecipitate,B-,1,3,1,0,0
2021-01-07,Cryoprecipitate,AB-,1,3,1,0,0
2021-01-08,Packed RBC,O+,32,4,1,0,0
2021-01-08,Packed RBC,A+,23,4,1,0,0
2021-01-08,Packed RBC,B+,17,4,1,0,0
2021-01-08,Packed RBC,AB+,4,4,1,0,0
2021-01-08,Packed RBC,O-,4,4,1,0,0
2021-01-08,Packed RBC,A-,1,4,1,0,0
2021-01-08,Packed RBC,B-,1,4,1,0,0
2021-01-08,Packed RBC,AB-,1,4,1,0,0
2021-01-08,Platelets,O+,15,4,1,0,0
2021-01-08,Platelets,A+,12,4,1,0,0
2021-01-08,Platelets,B+,7,4,1,0,0
2021-01-08,Platelets,AB+,2,4,1,0,0
2021-01-08,Platelets,O-,1,4,1,0,0
2021-01-08,Platelets,A-,1,4,1,0,0
2021-01-08,Platelets,B-,1,4,1,0,0
2021-01-08,Platelets,AB-,1,4,1,0,0
2021-01-08,Fresh Frozen Plasma,O+,6,4,1,0,0
2021-01-08,Fresh Frozen Plasma,A+,6,4,1,0,0
2021-01-08,Fresh Frozen Plasma,B+,3,4,1,0,0
2021-01-08,Fresh Frozen Plasma,AB+,1,4,1,0,0
2021-01-08,Fresh Frozen Plasma,O-,2,4,1,0,0
2021-01-08,Fresh Frozen Plasma,A-,1,4,1,0,0
2021-01-08,Fresh Frozen Plasma,B-,1,4,1,0,0
2021-01-08,Fresh Frozen Plasma,AB-,1,4,1,0,0
2021-01-08,Cryoprecipitate,O+,3,4,1,0,0
2021-01-08,Cryoprecipitate,A+,3,4,1,0,0
2021-01-08,Cryoprecipitate,B+,1,4,1,0,0
2021-01-08,Cryoprecipitate,AB+,1,4,1,0,0
2021-01-08,Cryoprecipitate,O-,2,4,1,0,0
2021-01-08,Cryoprecipitate,A-,1,4,1,0,0
2021-01-08,Cryoprecipitate,B-,1,4,1,0,0
2021-01-08,Cryoprecipitate,AB-,1,4,1,0,0
2021-01-09,Packed RBC,O+,26,5,1,1,0
2021-01-09,Packed RBC,A+,21,5,1,1,0
2021-01-09,Packed RBC,B+,15,5,1,1,0
2021-01-09,Packed RBC,AB+,3,5,1,1,0
2021-01-09,Packed RBC,O-,3,5,1,1,0
2021-01-09,Packed RBC,A-,1,5,1,1,0
2021-01-09,Packed RBC,B-,1,5,1,1,0
2021-01-09,Packed RBC,AB-,1,5,1,1,0
2021-01-09,Platelets,O+,9,5,1,1,0
2021-01-09,Platelets,A+,7,5,1,1,0
2021-01-09,Platelets,B+,4,5,1,1,0
2021-01-09,Platelets,AB+,1,5,1,1,0
2021-01-09,Platelets,O-,1,5,1,1,0
2021-01-09,Platelets,A-,1,5,1,1,0
2021-01-09,Platelets,B-,1,5,1,1,0
2021-01-09,Platelets,AB-,1,5,1,1,0
2021-01-09,Fresh Frozen Plasma,O+,8,5,1,1,0
2021-01-09,Fresh Frozen Plasma,A+,5,5,1,1,0
2021-01-09,Fresh Frozen Plasma,B+,5,5,1,1,0
2021-01-09,Fresh Frozen Plasma,AB+,1,5,1,1,0
2021-01-09,Fresh Frozen Plasma,O-,1,5,1,1,0
2021-01-09,Fresh Frozen Plasma,A-,1,5,1,1,0
2021-01-09,Fresh Frozen Plasma,B-,1,5,1,1,0
2021-01-09,Fresh Frozen Plasma,AB-,1,5,1,1,0
2021-01-09,Cryoprecipitate,O+,3,5,1,1,0
2021-01-09,Cryoprecipitate,A+,2,5,1,1,0
2021-01-09,Cryoprecipitate,B+,1,5,1,1,0
2021-01-09,Cryoprecipitate,AB+,1,5,1,1,0
2021-01-09,Cryoprecipitate,O-,1,5,1,1,0
2021-01-09,Cryoprecipitate,A-,1,5,1,1,0
2021-01-09,Cryoprecipitate,B-,1,5,1,1,0
2021-01-09,Cryoprecipitate,AB-,1,5,1,1,0
2021-01-10,Packed RBC,O+,25,6,1,1,0
2021-01-10,Packed RBC,A+,18,6,1,1,0
2021-01-10,Packed RBC,B+,12,6,1,1,0
2021-01-10,Packed RBC,AB+,3,6,1,1,0
2021-01-10,Packed RBC,O-,4,6,1,1,0
2021-01-10,Packed RBC,A-,3,6,1,1,0
2021-01-10,Packed RBC,B-,1,6,1,1,0
2021-01-10,Packed RBC,AB-,2,6,1,1,0
2021-01-10,Platelets,O+,7,6,1,1,0
2021-01-10,Platelets,A+,6,6,1,1,0
2021-01-10,Platelets,B+,2,6,1,1,0
2021-01-10,Platelets,AB+,1,6,1,1,0
2021-01-10,Platelets,O-,1,6,1,1,0
2021-01-10,Platelets,A-,1,6,1,1,0
2021-01-10,Platelets,B-,1,6,1,1,0
2021-01-10,Platelets,AB-,1,6,1,1,0
2021-01-10,Fresh Frozen Plasma,O+,5,6,1,1,0
2021-01-10,Fresh Frozen Plasma,A+,3,6,1,1,0
2021-01-10,Fresh Frozen Plasma,B+,3,6,1,1,0
2021-01-10,Fresh Frozen Plasma,AB+,1,6,1,1,0
2021-01-10,Fresh Frozen Plasma,O-,2,6,1,1,0
2021-01-10,Fresh Frozen Plasma,A-,1,6,1,1,0
2021-01-10,Fresh Frozen Plasma,B-,1,6,1,1,0
2021-01-10,Fresh Frozen Plasma,AB-,1,6,1,1,0
2021-01-10,Cryoprecipitate,O+,3,6,1,1,0
2021-01-10,Cryoprecipitate,A+,2,6,1,1,0
2021-01-10,Cryoprecipitate,B+,1,6,1,1,0
2021-01-10,Cryoprecipitate,AB+,1,6,1,1,0
2021-01-10,Cryoprecipitate,O-,1,6,1,1,0
2021-01-10,Cryoprecipitate,A-,1,6,1,1,0
2021-01-10,Cryoprecipitate,B-,1,6,1,1,0
2021-01-10,Cryoprecipitate,AB-,1,6,1,1,0
2021-01-11,Packed RBC,O+,41,0,1,0,0
2021-01-11,Packed RBC,A+,30,0,1,0,0
2021-01-11,Packed RBC,B+,23,0,1,0,0
2021-01-11,Packed RBC,AB+,4,0,1,0,0
2021-01-11,Packed RBC,O-,6,0,1,0,0
2021-01-11,Packed RBC,A-,2,0,1,0,0
2021-01-11,Packed RBC,B-,2,0,1,0,0
2021-01-11,Packed RBC,AB-,1,0,1,0,0
2021-01-11,Platelets,O+,9,0,1,0,0
2021-01-11,Platelets,A+,7,0,1,0,0
2021-01-11,Platelets,B+,5,0,1,0,0
2021-01-11,Platelets,AB+,3,0,1,0,0
2021-01-11,Platelets,O-,1,0,1,0,0
2021-01-11,Platelets,A-,2,0,1,0,0
2021-01-11,Platelets,B-,1,0,1,0,0
2021-01-11,Platelets,AB-,1,0,1,0,0
2021-01-11,Fresh Frozen Plasma,O+,12,0,1,0,0
2021-01-11,Fresh Frozen Plasma,A+,9,0,1,0,0
2021-01-11,Fresh Frozen Plasma,B+,7,0,1,0,0
2021-01-11,Fresh Frozen Plasma,AB+,1,0,1,0,0
2021-01-11,Fresh Frozen Plasma,O-,2,0,1,0,0
2021-01-11,Fresh Frozen Plasma,A-,1,0,1,0,0
2021-01-11,Fresh Frozen Plasma,B-,1,0,1,0,0
2021-01-11,Fresh Frozen Plasma,AB-,1,0,1,0,0
2021-01-11,Cryoprecipitate,O+,2,0,1,0,0
2021-01-11,Cryoprecipitate,A+,1,0,1,0,0
2021-01-11,Cryoprecipitate,B+,1,0,1,0,0
2021-01-11,Cryoprecipitate,AB+,1,0,1,0,0
2021-01-11,Cryoprecipitate,O-,1,0,1,0,0
2021-01-11,Cryoprecipitate,A-,1,0,1,0,0
2021-01-11,Cryoprecipitate,B-,1,0,1,0,0
2021-01-11,Cryoprecipitate,AB-,1,0,1,0,0
2021-01-12,Packed RBC,O+,30,1,1,0,0
2021-01-12,Packed RBC,A+,22,1,1,0,0
2021-01-12,Packed RBC,B+,17,1,1,0,0
2021-01-12,Packed RBC,AB+,3,1,1,0,0
2021-01-12,Packed RBC,O-,5,1,1,0,0
2021-01-12,Packed RBC,A-,2,1,1,0,0
2021-01-12,Packed RBC,B-,1,1,1,0,0
2021-01-12,Packed RBC,AB-,1,1,1,0,0
2021-01-12,Platelets,O+,12,1,1,0,0
2021-01-12,Platelets,A+,7,1,1,0,0
2021-01-12,Platelets,B+,5,1,1,0,0
2021-01-12,Platelets,AB+,1,1,1,0,0
2021-01-12,Platelets,O-,1,1,1,0,0
2021-01-12,Platelets,A-,1,1,1,0,0
2021-01-12,Platelets,B-,1,1,1,0,0
2021-01-12,Platelets,AB-,1,1,1,0,0
2021-01-12,Fresh Frozen Plasma,O+,8,1,1,0,0
2021-01-12,Fresh Frozen Plasma,A+,7,1,1,0,0
2021-01-12,Fresh Frozen Plasma,B+,5,1,1,0,0
2021-01-12,Fresh Frozen Plasma,AB+,1,1,1,0,0
2021-01-12,Fresh Frozen Plasma,O-,1,1,1,0,0
2021-01-12,Fresh Frozen Plasma,A-,1,1,1,0,0
2021-01-12,Fresh Frozen Plasma,B-,1,1,1,0,0
2021-01-12,Fresh Frozen Plasma,AB-,1,1,1,0,0
2021-01-12,Cryoprecipitate,O+,6,1,1,0,0
2021-01-12,Cryoprecipitate,A+,2,1,1,0,0
2021-01-12,Cryoprecipitate,B+,1,1,1,0,0
2021-01-12,Cryoprecipitate,AB+,1,1,1,0,0
2021-01-12,Cryoprecipitate,O-,1,1,1,0,0
2021-01-12,Cryoprecipitate,A-,1,1,1,0,0
2021-01-12,Cryoprecipitate,B-,1,1,1,0,0
2021-01-12,Cryoprecipitate,AB-,1,1,1,0,0
2021-01-13,Packed RBC,O+,28,2,1,0,0
2021-01-13,Packed RBC,A+,20,2,1,0,0
2021-01-13,Packed RBC,B+,15,2,1,0,0
2021-01-13,Packed RBC,AB+,3,2,1,0,0
2021-01-13,Packed RBC,O-,3,2,1,0,0
2021-01-13,Packed RBC,A-,1,2,1,0,0
2021-01-13,Packed RBC,B-,1,2,1,0,0
2021-01-13,Packed RBC,AB-,2,2,1,0,0
2021-01-13,Platelets,O+,13,2,1,0,0
2021-01-13,Platelets,A+,10,2,1,0,0
2021-01-13,Platelets,B+,10,2,1,0,0
2021-01-13,Platelets,AB+,2,2,1,0,0
2021-01-13,Platelets,O-,1,2,1,0,0
2021-01-13,Platelets,A-,2,2,1,0,0
2021-01-13,Platelets,B-,1,2,1,0,0
2021-01-13,Platelets,AB-,1,2,1,0,0
2021-01-13,Fresh Frozen Plasma,O+,11,2,1,0,0
2021-01-13,Fresh Frozen Plasma,A+,8,2,1,0,0
2021-01-13,Fresh Frozen Plasma,B+,7,2,1,0,0
2021-01-13,Fresh Frozen Plasma,AB+,1,2,1,0,0
2021-01-13,Fresh Frozen Plasma,O-,1,2,1,0,0
2021-01-13,Fresh Frozen Plasma,A-,1,2,1,0,0
2021-01-13,Fresh Frozen Plasma,B-,1,2,1,0,0
2021-01-13,Fresh Frozen Plasma,AB-,1,2,1,0,0
2021-01-13,Cryoprecipitate,O+,4,2,1,0,0
2021-01-13,Cryoprecipitate,A+,2,2,1,0,0
2021-01-13,Cryoprecipitate,B+,2,2,1,0,0
2021-01-13,Cryoprecipitate,AB+,1,2,1,0,0
2021-01-13,Cryoprecipitate,O-,1,2,1,0,0
2021-01-13,Cryoprecipitate,A-,1,2,1,0,0
2021-01-13,Cryoprecipitate,B-,1,2,1,0,0
2021-01-13,Cryoprecipitate,AB-,1,2,1,0,0
2021-01-14,Packed RBC,O+,46,3,1,0,0
2021-01-14,Packed RBC,A+,32,3,1,0,0
2021-01-14,Packed RBC,B+,24,3,1,0,0
2021-01-14,Packed RBC,AB+,5,3,1,0,0
2021-01-14,Packed RBC,O-,5,3,1,0,0
2021-01-14,Packed RBC,A-,1,3,1,0,0
2021-01-14,Packed RBC,B-,1,3,1,0,0
2021-01-14,Packed RBC,AB-,1,3,1,0,0
2021-01-14,Platelets,O+,9,3,1,0,0
2021-01-14,Platelets,A+,8,3,1,0,0
2021-01-14,Platelets,B+,8,3,1,0,0
2021-01-14,Platelets,AB+,1,3,1,0,0
2021-01-14,Platelets,O-,1,3,1,0,0
2021-01-14,Platelets,A-,1,3,1,0,0
2021-01-14,Platelets,B-,1,3,1,0,0
2021-01-14,Platelets,AB-,1,3,1,0,0
2021-01-14,Fresh Frozen Plasma,O+,12,3,1,0,0
2021-01-14,Fresh Frozen Plasma,A+,6,3,1,0,0
2021-01-14,Fresh Frozen Plasma,B+,5,3,1,0,0
2021-01-14,Fresh Frozen Plasma,AB+,2,3,1,0,0
2021-01-14,Fresh Frozen Plasma,O-,1,3,1,0,0
2021-01-14,Fresh Frozen Plasma,A-,1,3,1,0,0
2021-01-14,Fresh Frozen Plasma,B-,1,3,1,0,0
2021-01-14,Fresh Frozen Plasma,AB-,1,3,1,0,0
2021-01-14,Cryoprecipitate,O+,3,3,1,0,0
2021-01-14,Cryoprecipitate,A+,3,3,1,0,0
2021-01-14,Cryoprecipitate,B+,1,3,1,0,0
2021-01-14,Cryoprecipitate,AB+,1,3,1,0,0
2021-01-14,Cryoprecipitate,O-,1,3,1,0,0
2021-01-14,Cryoprecipitate,A-,1,3,1,0,0
2021-01-14,Cryoprecipitate,B-,1,3,1,0,0
2021-01-14,Cryoprecipitate,AB-,1,3,1,0,0
2021-01-15,Packed RBC,O+,22,4,1,0,0
2021-01-15,Packed RBC,A+,18,4,1,0,0
2021-01-15,Packed RBC,B+,11,4,1,0,0
2021-01-15,Packed RBC,AB+,1,4,1,0,0
2021-01-15,Packed RBC,O-,2,4,1,0,0
2021-01-15,Packed RBC,A-,1,4,1,0,0
2021-01-15,Packed RBC,B-,1,4,1,0,0
2021-01-15,Packed RBC,AB-,1,4,1,0,0
2021-01-15,Platelets,O+,15,4,1,0,0
2021-01-15,Platelets,A+,12,4,1,0,0
2021-01-15,Platelets,B+,9,4,1,0,0
2021-01-15,Platelets,AB+,2,4,1,0,0
2021-01-15,Platelets,O-,1,4,1,0,0
2021-01-15,Platelets,A-,1,4,1,0,0
2021-01-15,Platelets,B-,1,4,1,0,0
2021-01-15,Platelets,AB-,1,4,1,0,0
2021-01-15,Fresh Frozen Plasma,O+,8,4,1,0,0
2021-01-15,Fresh Frozen Plasma,A+,7,4,1,0,0
2021-01-15,Fresh Frozen Plasma,B+,7,4,1,0,0
2021-01-15,Fresh Frozen Plasma,AB+,1,4,1,0,0
2021-01-15,Fresh Frozen Plasma,O-,1,4,1,0,0
2021-01-15,Fresh Frozen Plasma,A-,1,4,1,0,0
2021-01-15,Fresh Frozen Plasma,B-,1,4,1,0,0
2021-01-15,Fresh Frozen Plasma,AB-,1,4,1,0,0
2021-01-15,Cryoprecipitate,O+,5,4,1,0,0
2021-01-15,Cryoprecipitate,A+,3,4,1,0,0
2021-01-15,Cryoprecipitate,B+,1,4,1,0,0
2021-01-15,Cryoprecipitate,AB+,1,4,1,0,0
2021-01-15,Cryoprecipitate,O-,1,4,1,0,0
2021-01-15,Cryoprecipitate,A-,1,4,1,0,0
2021-01-15,Cryoprecipitate,B-,1,4,1,0,0
2021-01-15,Cryoprecipitate,AB-,1,4,1,0,0
